1. 利用高程为9.125m水准点，测设高程为8.586m的室内±0地坪标高，在水准点上立尺后，水准仪瞄准该尺的读数为1.462m，问室内立尺时，尺上读数是以下哪项时可测得正确的±0标高？{{c1::（）}}[2010年真题]	2.001m<br>0.923m<br>0.539m<br>1.743m	A	利用高差法原理，设<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/65352959-78fe-4927-85c2-25a7e2fef580.png" width="79"/>m，<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/32f01000-5d4e-46ee-812e-7a7d22af30f4.png" width="79"/>m。则<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/533a61ad-ae8e-4ef9-9ec5-cc004f1791de.png" width="161"/>8.586-9.125=-0.539m，又<em>a</em>=1.462m，则<em>b</em>=<em>a</em>-<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/31fc99e4-316f-45bc-b95e-04ace6910171.png" width="25"/>=1.462-（-0.539）=2.001m。
12. 从一已知高程的水准点出发做水准测量，最后又回到原水准点，这称为{{c1::（）}}。	闭合水准路线<br>附合水准路线<br>支水准路线<br>水准网	A	测量时，一系列水准点构成水准路线和水准网。水准路线是指在水准点之间进行水准测量所经过的路线，其布设形式分为三种：①闭合水准路线是从某一已知高程的水准点出发，沿某一路线，测定若干个高程待定的水准点，最后仍回到出发的水准点；②附合水准路线是从某一已知高程的水准点出发，沿某一路线，测定若干个高程待定的水准点，最后连测到另一已知高程的水准点；③支水准路线是从某一已知高程的水准点出发，沿某一路线，测定若干个高程待定的水准点，其路线既不闭合也不附合。
13. 微倾水准仪由望远镜、基座和哪部分组成{{c1::（）}}。	竖轴<br>水准管轴<br>圆水准器<br>水准器	D	水准仪有DS<sub>0.5</sub>、DS<sub>1</sub>、DS<sub>3</sub>等多种，数字0.5、1、3代表该仪器的精度即每公里往返测量高差中数的中误差值（以mm计）。微倾式水准仪主要由望远镜、水准器和基座三部分组成。
14. 已知A、B两点的高程分别为：H<sub>0</sub>=3.300m，H<sub>0</sub>=4.000m，试问两点间高差<img border="0" height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/89452f97-6caa-4a8d-8700-19ea86061c9d.png" width="25"/>应为{{c1::（）}}。	-0.700m<br>+0.700m<br>+7.300m<br>-7.300m	B	A、B两点间高程计算公式为：h<sub>AB</sub>＝H<sub>B</sub>－H<sub>A</sub>＝4.000－3.300＝＋0.700。
15. M点高程H<sub>M</sub>=43.251m，测得后视读数a=1.000m，前视读数b=2.283m。则视线高H<sub>i</sub>和待求点N的高程H<sub>N</sub>分别为{{c1::（）}}。	45.534m；43.251m<br>40.968m；38.685m<br>44.251m；41.968m<br>42.251m；39.968m	C	视线高程是指视准轴到绝对基面的垂直高度。通过视线高推算出待定点的高程，视线高程=后视点高程+后视读数；待定点高程=视线高程-前视读数。代入数据可得，视线高为：H<sub>i</sub>=H<sub>M</sub>+a=43.251+1.000=44.251m，待求点N的高程为：H<sub>N</sub>=H<sub>i</sub>-b=44.251-2.283=41.968m。
16. 已知M点实地高程为39.651m，N点设计高程为40.921m。在M、N中间安置水准仪，读得M尺上读数为1.561m，N尺上读数为0.394m，则N点处填挖高度为{{c1::（）}}。	挖0.103<br>不填不挖<br>填0.103m<br>填1.270m	C	M、N两点设计高差为：h<sub>MN</sub>=H<sub>M</sub>－H<sub>N</sub>=1.270m；M、N两点实际高差为：Δh=h<sub>M</sub>－h<sub>N</sub>=1.167m。可知应填土，且填土高度为h<sub>MN</sub>－Δh=0.103m。
17. 水准测量的原理是：为测定两点间的高差，必须利用水准仪提供的{{c1::（）}}。	视线<br>水平视线<br>视准轴线<br>倾斜视线	B	水准测量是利用水准仪提供的水平视线，读出竖立在两点上的水准尺上读数a、b，则该两点间高差<img border="0" height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/89452f97-6caa-4a8d-8700-19ea86061c9d.png" width="25"/>=a-b=后视读数-前视读数。
18. 测量望远镜瞄准目标进行调焦时，若有视差，其产生的原因是{{c1::（）}}。	十字丝未调节清楚<br>观测时瞄准有误差<br>观测时光线太强或太弱<br>目标成像面没有和十字丝平面重合	D	视差产生的原因是目标影像与十字丝之间有相对位移，即目标成像面没有和十字丝平面重合。在瞄准目标时，当眼睛在目镜端上下移动，如发现十字丝和物像有相对的移动，说明仪器存在视差。瞄准误差和观测光线只会造成偶然误差对视差没有影响。
19. DS<sub>3</sub>型水准仪的四条轴线包括竖轴、长水准管轴及{{c1::（）}}。	视准轴和横轴<br>横轴与纵轴<br>视准轴与圆水准管轴<br>纵轴与圆水准管铀	C	DS<sub>3</sub>型水准仪为普通水准仪。四条轴线包括竖轴、长水准管轴、视准轴与圆水准管轴。横轴与纵轴是指坐标轴，与水准仪无关。
20. 在水准测量时，加设若干个起高程传递作用的临时立尺点，这称为{{c1::（）}}。	水准点<br>转折点<br>转点<br>临时水准点	C	当两点间相距较远或高差较大，不可能安置一次仪器即可测得两点间的高差，此时，可在水准路线中加设若干个临时立尺点，称为转点。
21. 水准仪中圆水准器的作用是{{c1::（）}}。	消除视差<br>粗略整平<br>精确整平<br>照准目标	B	粗平即粗略地整平仪器，按“左手大拇指规则”转动脚螺旋，使圆水准器气泡居中，导致此时仪器的竖轴大致铅垂，为在各个方向精密定平仪器创造条件。圆水准器气泡居中，大致使仪器粗略整平。
22. 通过水准测量方法测得其高程的控制点，称为{{c1::（）}}。	高程点<br>控制点<br>水准点<br>导线点	C	水准点是通过水准测量测得其高程的固定点，它是是在高程控制网中用水准测量的方法测定其高程的控制点，用BM表示，分为永久性水准点和临时性水准点两种。按照水准测量的等级，水准点可分为一、二、三、四等。
23. 水准仪应满足的三个条件中，最主要的条件是{{c1::（）}}。	水准管轴平行于视准轴<br>圆水准轴平行于竖轴<br>横丝垂直于竖轴<br>圆水准轴平行于竖轴及横丝垂直于竖轴	A	水准轴应满足三个条件：①圆水准轴平行于竖轴（L∥V）；②十字丝横丝垂直于竖轴；③水准管轴平行于视准轴（L∥C）。其中水准管轴平行于视准轴（L∥C），是水准仪应满足的主要条件。
24. 过水准管零点所作其内壁圆弧的纵向切线称为水准管轴。当气泡居中时，则该轴处于的位置是{{c1::（）}}。	水平<br>垂直于十字丝纵丝<br>铅直<br>倾斜	A	过水准管零点所作其内壁圆弧的纵向切线称为水准管轴。水准仪在构造上应满足水准管轴平行于视准轴这个主要条件。只有上述条件满足，当水准管气泡居中时，视准轴才处于水平位置。在水准仪的精平中使水准管气泡居中，使望远镜的水准管轴处于水平位置。
25. DS3光学水准仪的基本操作程序是{{c1::（）}}。	对中、整平、瞄准、读数<br>粗平、瞄准、精平、读数<br>粗平、精平、对光、读数<br>粗平、精平、瞄准、读数	B	用水准仪进行水准测量的操作程序如下：①粗平，即粗略地整平仪器，按“左手大拇指规则”转动脚螺旋，使圆水准器气泡居中，此时仪器的竖轴大致铅垂。②瞄准，即使望远镜照准水准尺，调焦消除视差，使十字丝和水准尺影像均十分清晰。③精平，使水准管气泡居中，使望远镜的视准轴处于水平位置。④读数，即读出用十字丝横丝所对准的水准尺上读数。读数应有4位数，毫米数应进行估计，注意水准尺影像有正、倒之分。
26. 水准测量时，后视尺前俯或后仰将导致前视点高程的误差为{{c1::（）}}。	偏大<br>不偏大也不偏小<br>偏小<br>偏大或偏小	A	水准测量时，根据水准测量原理高差法计算公式，前视点高程为：H<sub>B</sub>=H<sub>A</sub>+（a-b）可知，后视尺前俯或后仰导致后视读数a增大，自然导致前视点高程H<sub>B</sub>增大。
27. 当进行水准测量时，计算校核∑h=∑a-∑b和∑h=H<sub>终</sub>-H<sub>始</sub>可分别校核下列中哪两项是否具有误差？{{c1::（）}}	高程计算、高差计算<br>水准点位置、记录<br>水准点高程、水准尺读数<br>高差计算、记录	A	依据高差法水准测量原理的计算公式：高差<img border="0" height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/89452f97-6caa-4a8d-8700-19ea86061c9d.png" width="25"/>=a-b=后视读数-前视读数，结合高差计算和高程计算的原理可得，∑h=∑a一∑b和∑h=H<sub>终</sub>-H<sub>始</sub>分别是为了校核高度和高差是否具有误差。
