1. 设A是m阶矩阵，B是n阶矩阵，行列式<img height="49" id="图片 586" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c5d50ec8-edcf-49af-82ec-138cd77f4611.jpg" width="49"/>等于（　　）。[2010年真题]
17. 设A，B为n阶矩阵，A*，B*分别为A，B对应的伴随矩阵，分块矩阵<img height="35" id="图片 626" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/29ca36dd-e66a-4c68-af06-d53f19615a1d.jpg" width="72"/>，则C的伴随矩阵C*=（　　）。
18. 设向量组α<sub>1</sub>，α<sub>2</sub>，α<sub>3</sub>线性无关，则下列向量组中，线性无关的是（　　）。
19. 设有向量组α<sub>1</sub>=（1，-1，2，4），α<sub>2</sub>=（0，3，1，2），α<sub>3</sub>=（3，0，7，14），α<sub>4</sub>=（1，-2，2，0），α<sub>5</sub>=（2，1，5，10），则该向量组的<br/>极大线性无关组是（　　）。
20. 设n维行向量<img height="41" id="图片 634" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/943ab785-6ee2-463d-b1f3-49b96bfeb1f9.jpg" width="165"/>矩阵A=E-α<sup>T</sup>α，B=E+2α<sup>T</sup>α，其中E为n阶单位矩阵，则AB等于（　　）。
21. 设β<sub>1</sub>，β<sub>2</sub>是线性方程组Ax=b的两个不同的解，α<sub>1</sub>、α<sub>2</sub>是导出组Ax=0的基础解系，k<sub>1</sub>、k<sub>2</sub>是任意常数，则Ax=b的通解是（　　）。
22. 设A是m×n阶矩阵，Ax=0是非齐次线性方程组Ax=b所对应的齐次线性方程组，则下列结论正确的是（　　）。
23. 齐次线性方程组<img border="0" height="150" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2017-11-22/6f0dceae-7769-4ed9-8a20-ab9749ed20a5.jpg" style="float:none;width:266px;height:150px;" title="1.jpg" vspace="0" width="266"/>的系数矩阵记为A。若存在三阶矩阵B≠0使得AB＝0，则（　　）。
24. 设λ<sub>1</sub>，λ<sub>2</sub>是矩阵A的两个不同的特征值，ξ，η是A的分别属于λ<sub>1</sub>，λ<sub>2</sub>的特征向量，则以下选项中正确的是（　　）。
25. 下列矩阵中不能对角化的是（　　）。
26. 设A是n阶矩阵，且A<sup>k</sup>=0（k为正整数），则（　　）。
27. 已知二阶实对称矩阵A的一个特征向量为（2，-5）<sup>T</sup>，并且A＜0，则以下选项中为A的特征向量的是（　　）。
28. 二次型<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a9ca0df8-a32b-49cd-899d-628646eeaab6.png" width="323"/>的标准形为（　　）。
29. n元二次型X<sup>T</sup>AX是正定的充分必要条件是（　　）。
30. 已知A为奇数阶实矩阵，设阶数为n，且对于任一n维列向量X，均有X<sup>T</sup>AX＝0，则有（　　）。
31. 二次型<img height="62" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/97d236d3-fe80-4f1c-be98-5a4d6be97cc4.png" width="215"/>的秩为（　　）。
32. 已知矩阵<img height="67" id="图片 533" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4a6c4137-9113-443c-ab5f-72f23dbfa560.jpg" width="96"/>，那么与A既相似又合同的矩阵是（　　）。
