1. 一横波的波动方程是<img height="32" id="图片 1" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2ebf9130-3648-47eb-a4ec-582be5f6a996.png" width="275"/>距离原点（x=0）处最近的波峰位置为{{c1::（）}}。[2014年真题]	±2.5m<br>±7.5m<br>±4.5m<br>±5m	A	t=0.25s时，波形为：<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/80fa32ff-702f-4d67-b212-04dd79b8fde0.png" width="185"/>波峰位置即质点振幅最大的位置。波峰位置的条件为：<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/40e53891-ff42-4871-8637-4e476551bc40.png" width="124"/>（k=0，±1，±2……），则距离原点x=0处最近的波峰位置为±2.5m。
12. 把一根非常长的绳子拉成水平，用手握其一端。维持拉力恒定，使绳端在垂直于绳子的方向上作简谐振动，则下列叙述中正确的是{{c1::（）}}。	振动频率越高，波长越长<br>振动频率越低，波长越长<br>振动频率越高，波速越大<br>振动频率越低，波速越大	B	波速u=λυ，λ为波长，υ为频率，波速只与介质有关，所以波速不变，波长和频率成反比。
13. 一平面简谐波沿x轴正向传播，已知P点（xp＝L）的振动方程为y＝Acos（ωt＋φ<sub>0</sub>），则波动方程为{{c1::（）}}。	<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ec7597a2-2ed7-408c-8a85-1da329976e2f.png" width="219"/><br><img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/35af2f28-15f4-481a-a312-84c582ce6493.png" width="195"/><br>y＝Acos[t－（x/u）]<br><img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/91303a5a-c735-4304-acf7-6d810265912a.png" width="222"/>	A	振动由P点传到x点所需时间为（x－L）/u，即P点的位相比x点的位相落后了ω（x－L）/u。
14. 一平面简谱横波的波动表达式为y=0.05cos（20πt+4πx）（SI），取k=0，±1，±2，…。则t=0.5s时各波峰所在处的位置为{{c1::（）}}。	<img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/839dadca-6f9d-46b0-9831-56f78b7bc3fb.png" width="78"/><br><img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b3e4efc4-55ec-4288-a1d7-02c61c572842.png" width="71"/><br><img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e679ab58-76cc-43e4-95eb-cf67111f50a3.png" width="71"/><br><img height="33" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/74d68d06-c77b-4ed1-a01c-f80401beb770.png" width="63"/>	A	依题意t=0.5s时，y=0.05cos（20πt+4πx）=0.05，解得<img height="36" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/683f92b5-171c-4273-af0d-90199bde8257.jpg" width="131"/>。
15. 频率4Hz沿x轴正向传播的简谐波，波线上有两点a和b，若它们开始振动的时间差为0.25s，则它们的相位差为{{c1::（）}}。	π/2<br>π<br>3π/2<br>2π	D	同一波线上，两个相邻的相位相差为2π的质点，它们之间的距离称为波长。振动状态传播一个波长的距离所需时间为一个周期T，即频率的倒数。
16. 有两频率不同的声波在空气中传播，已知频率f<sub>1</sub>=500Hz的声波在其传播方向相距为L的两点的振动相位差为π，那么频率f<sub>2</sub>=1000Hz的声波在其传播方向相距为L/2的两点的相位差为{{c1::（）}}。	π/2<br>π<br>3π/4<br>3π/2	B	波的传播速度只与介质有关，与频率无关，所以两个声波的速度相等。由u= λυ，知波长与频率成反比。即λ<sub>2</sub>为λ<sub>1</sub>的1/2，所以在其传播方向相距为L/2的两点的相位差为π。
17. 两相干波源S<sub>1</sub>与S<sub>2</sub>相距<img height="30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a20174e4-5475-40f1-8c62-a55a892c6c38.jpg" width="17"/>λ（λ为波长），设两波在S<sub>1</sub>、S<sub>2</sub>连线上传播时，它们的振幅都是A，且不随距离变化，已知在该直线上在S<sub>1</sub>左侧各点的合成波的强度为其中一个波强度的4倍，则两波源应满足的相位条件是{{c1::（）}}。	<img height="34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3b359fc8-ac55-4ae2-94c1-c352edb765e8.jpg" width="23"/><br><img height="30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1cd6bb93-23ee-4643-a05f-0da41e5182ed.jpg" width="18"/><br><img height="34" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3b359fc8-ac55-4ae2-94c1-c352edb765e8.jpg" width="23"/><br><img height="30" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1cd6bb93-23ee-4643-a05f-0da41e5182ed.jpg" width="18"/>	C	干涉加强减弱的条件为：<br/><img height="93" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0197ac5c-7d70-476f-b3f0-0caae135fae5.jpg" width="537"/><br/>由题意知其为干涉加强，将<img height="32" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3881f933-166b-4b6e-ab73-eec62f4e81a0.png" width="87"/>代入得: <img height="35" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cfcb38a9-6945-4165-98e1-bd072b836f81.png" width="183"/>即S<sub>2</sub>比S<sub>1</sub>超前<img height="37" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6d2eb16e-962f-4fac-b44e-8e015af13a3d.jpg" width="85"/>或S<sub>1</sub>比S<sub>2</sub>超前±2（k－1）π＋π/2。
18. 沿着相反方向传播的两列相干波，其波动方程分别为y1＝Acos2π（vt－x/λ）和y2＝Acos2π（vt＋x/λ），在叠加后形成的驻波中，各处的振幅是{{c1::（）}}。	A<br>2A<br>2Acos（2πx/λ）<br><img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7542fec0-ba42-4089-bc6a-835edd28219e.png" width="126"/>	D	驻波就是两列波合成，所以驻波方程<br/>y=Acos2π（vt-x/λ）+Acos2π（vt+x/λ）<br/>=A[cos（2πvt- 2πx/ λ）+cos（2πvt+ 2πx/ λ）]<br/>=A[2cos2πvtcos2πx/ λ]<br/>=2cos2πx/λAcos2πvt<br/>故得振幅为|2Acos（2πx/λ）|。
19. 一平面简谐波在弹性介质中传播，在介质质元从平衡位置向最大位移处的过程中{{c1::（）}}。	它的势能转换成动能<br>它的动能转换成势能<br>它从相邻的一段介质质元获得能量，其能量逐渐增加<br>它把自己的能量传给相邻的一段介质质元，其能量逐渐减小	D	最大位移处动能为零，势能为零，平衡位置处动能最大，势能最大。介质质元从平衡位置向最大位移处的过程中，动能和势能的减少是由相邻的一段介质质元传递的。
20. 两种声音的声强级差1分贝，则它们的强度之比为{{c1::（）}}。	0.0126<br>0.126<br>1.26<br>12.6	C	根据题意，得:<img height="40" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d9ce5514-5ff1-4e76-bb95-4abeb59c3f0b.jpg" width="213"/>，解得:I<sub>1</sub>/I<sub>2</sub>＝1.26。
21. 声音从声源发出，在均匀无限大的空气中传播的过程中，{{c1::（）}}。	声波的波速不断减小<br>声波的波长不断减小<br>声波的振幅不断减小<br>声波的频率不断减小	C	波速只与介质有关，所以不变，频率只与波源有关，也不发生变化，根据u＝λυ可知，波长也不发生变化，声音在媒介中传递时能量逐渐减小，能量与振幅的平方成正比，所以振幅减弱。
22. 设声波在媒质中的传播速度为u，声源的频率为υ<sub>S</sub>。若声源S不动，而接收器R相对于媒质以速度vR沿着S、R连线向着声源S运动，则位于S、R连线中点的质点P的振动频率为{{c1::（）}}。	<img height="18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/37508b40-7910-4470-914e-0e1f4884c3bc.png" width="22"/><br><img height="40" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/30e8d713-f371-4fcd-97f9-a081d85692f9.png" width="67"/><br><img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9eb00271-5b7f-4148-85d9-dd89f9e2a325.png" width="70"/><br><img height="42" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f990436a-2dbf-4e40-871e-0838423dc4ab.png" width="67"/>	A	声波的频率是声波的固有属性，不因声源与接受声源的距离即波程变化而变化。
23. 一人在地面上手持发音体垂直向一高墙以5<span>m/s的速度运动，发音体的频率为1500Hz，空气中的声速为<span>340</span><span>m/s,人接收到的经高墙反射回来的频率是<span>{{c1::（）}}Hz。</span></span></span><br/>	1544<br>1522<br>1446<br>1234	A	设空气中声速u＝340m/s。第一步考虑高墙接收到的频率，相当于声源以<img border="0" height="40" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2017-11-30/b5dd21fc-399c-487c-91cb-7551ea9cca17.jpg" style="width:126px;height:40px;float:none;" title="1.jpg" vspace="0" width="126"/>运动，观察者不动，高墙接收到的频率为<img border="0" height="70" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2017-11-30/1f923975-e8bc-48a5-998e-b7eb87cb98fa.jpg" style="width:432px;height:70px;float:none;" title="1.jpg" vspace="0" width="432"/>；第二步考人接收高墙反射的频率，相当于声源（高墙）不动，观察者（人）以<img border="0" height="40" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2017-11-30/b3b9ac8c-2015-4a1f-887a-4c1739960279.jpg" style="width:120px;height:40px;float:none;" title="3.jpg" vspace="0" width="120"/>运动，人接收从高墙反射回来的频率：<img border="0" height="70" hspace="0" src="http://admintk.100xuexi.com/UpLoadImage/2017-11-30/d5049dff-0ff8-482c-b6e0-44a72634d693.jpg" style="width:305px;height:70px;float:none;" title="2.jpg" vspace="0" width="305"/>。
