1. 已知向量α=（-3，-2，1），β=（1，-4，-5），则|α×β|等于{{c1::（）}}。[2013年真题]	"0<br>6<br><img height=""19"" id=""图片 1"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f409f0f6-3545-4175-889a-170ead006ae7.jpg"" width=""42""/><br>14i+16j-10k"	C	"<img height=""75"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d1a6516b-7516-4e76-a50d-b2ba39658bf7.jpg"" width=""309""/>，所以<img height=""28"" id=""图片 2"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/341ca007-94e8-4b7f-a06d-1daf7d946740.jpg"" width=""336""/>"	
12. 设α=i+2j+3k，β=i-3j-2k，与α、β都垂直的单位向量为{{c1::（）}}。	"<img height=""23"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/647e6dea-ea1e-4827-bf2c-b0f92b1dc501.png"" width=""91""/><br><img height=""49"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7cd9028c-b801-4ee5-b7a0-581bebc85d6e.png"" width=""110""/><br><img height=""47"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/af702889-80d6-4614-8b74-a37b1dade494.png"" width=""129""/><br><img height=""47"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3eecc8cd-b4bd-4ea3-afc8-09466b0f540a.png"" width=""112""/>"	D	"根据题意，先将向量表示为点：α=（1，2，3），β=（1，-3，-2）；设与它们垂直的单位向量为γ=（x，y，z），单位向量的模为1，则有<img height=""81"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ad17090b-8b96-4c88-ac78-bc35087d0901.jpg"" width=""129""/>，解得，<img height=""148"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/872d6e8d-ce5b-4533-8531-3ad734c97b88.jpg"" width=""164""/>，表示成单位向量为：<img height=""43"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cb5736a8-2e0d-4511-9a91-468a357021d8.jpg"" width=""110""/>。"	
13. 已知a、b均为非零向量，而｜a+b｜=｜a-b｜，则{{c1::（）}}。	a-b=0<br>a+b=0<br>a·b=0<br>a×b=0	C	由a≠0，b≠0及｜a+b｜=｜a-b｜知，（a+b）<sup>2</sup>=（a-b）<sup>2</sup>。即a·b=-a·b，所以a·b=0。或图解法：两个向量垂直时，其向量与向量差的模等相等，方向相反。	
14. 设三向量a，b，c满足关系式a·b=a·c，则{{c1::（）}}。	必有a=0或b=c<br>必有a=b-c=0<br>当a≠0时必有b=c<br>a与（b-c）均不为0时必有a⊥（b-c）	D	因a·b=a·c且a≠0，b-c≠0，故a·b-a·c=0，即a·（b-c）=0，a⊥（b-c）。	
15. 设a，b，c为非零向量，则与a不垂直的向量是{{c1::（）}}。	"（a·c）b-（a·b）c<br><img height=""41"" id=""图片 28"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cfc8a142-2e26-461f-bd08-52aef349891e.jpg"" width=""94""/><br>a×b<br>a+（a×b）×a"	D	"由两向量垂直的充要条件：两向量的数量积为零，以及由向量的运算法则有：<br/>A项，a·［（a·c）b-（a·b）c］=0；<br/>B项，<img height=""41"" id=""图片 29"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9cdb3bee-0f3e-4f4c-a9a3-604811aad41e.jpg"" width=""174""/><br/>C项，a·（a×b）=0，混合积的计算结果为以向量a、a、b为行列式的值，该行列式第一行和第二行相等，故其值为零；<br/>D项，a·［a+（a×b）×a］=|a|<sup>2</sup>≠0。"	
16. 设a、b为非零向量，且满足（a+3b）⊥（7a-5b），（a-4b）⊥（7a-2b），则a与b的夹角θ={{c1::（）}}。	"0<br><img height=""35"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ed62e2d9-052a-4e9d-b19d-3581142730b4.png"" width=""23""/><br><img height=""36"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f6c79da8-c12c-4c50-a6f3-b808bdb768fe.png"" width=""23""/><br><img height=""39"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b9d0c3e8-ff2a-4979-bb87-accedfbcfd6d.png"" width=""33""/>"	C	"由两向量垂直的充要条件得:<br/><img height=""235"" id=""图片 31"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/34fdafb5-d4ed-4a30-986b-78a5d98e9a06.jpg"" width=""620""/>"	
"17. 已知|a|=2，<img height=""20"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f9a033cb-beff-4c21-b089-f9cc708cfc21.png"" width=""49""/>，且a·b=2，则|a×b|={{c1::（）}}。"	"2<br><img height=""22"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/396828f2-603b-4b78-9dfa-334b10e7fe77.png"" width=""35""/><br><img height=""39"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/405bcf76-88f6-43ed-a177-2d7c18d4881b.png"" width=""26""/><br>1"	A	"由a·b=2，|a|=2，<img height=""20"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f9a033cb-beff-4c21-b089-f9cc708cfc21.png"" width=""49""/>，得<img height=""42"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b7fc8517-ca40-4aa4-bb71-c7a73fdc3743.png"" width=""235""/>因此有<img height=""47"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b9e6509f-b75c-48ce-b388-7aac16e6304a.png"" width=""329""/>"	
18. 设向量x垂直于向量a=2，3，-1和b=1，-2，3，且与c=2，-1，1的数量积为-6，则向量x={{c1::（）}}。	（-3，3，3）<br>（-3，1，1）<br>（0，6，0）<br>（0，3，-3）	A	由题意可得，x∥a×b，而a×b=（2，3，-1）×（1，-2，3）=（7，-7，-7）=7（1，-1，-1），所以x=（x，-x，-x）。再由-6=x·c=（x，-x，-x）·（2，-1，1）=2x，得x=-3，所以x=（-3，3，3）。	
"19. 直线<img height=""48"" id=""图片 36"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/042e3288-e622-4e43-ae30-1e5c5b2c003e.jpg"" width=""347""/>之间的关系是{{c1::（）}}。"	L<sub>1</sub>∥L<sub>2</sub><br>L<sub>1</sub>，L<sub>2</sub>相交但不垂直<br>L<sub>1</sub>⊥L<sub>2</sub>但不相交<br>L<sub>1</sub>，L<sub>2</sub>是异面直线	A	"直线L<sub>1</sub>与L<sub>2</sub>的方向向量分别为：<br/>l<sub>1</sub>=<img height=""81"" id=""图片 37"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6c536caa-74a4-49b9-bb92-2abc4ffe01c0.jpg"" width=""116""/>=3i+j+5k，<br/>l<sub>2</sub>=<img height=""76"" id=""图片 38"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/54a02ab4-ed9a-4da1-a8c8-784814408ed0.jpg"" width=""121""/>=-9i-3j-15k；<br/>又<img height=""38"" id=""图片 39"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a2e463ef-8468-43bc-80ff-8672b1077549.jpg"" width=""125""/>故l<sub>1</sub>∥l<sub>2</sub>，即L<sub>1</sub>∥L<sub>2</sub>。"	
"20. 已知直线方程<img height=""55"" id=""图片 40"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3ff37b9c-4ca1-4397-a4a8-da0142a82b13.jpg"" width=""187""/>中所有系数都不等于0，且<img height=""42"" id=""图片 41"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/816f7788-64df-4782-b040-9ac23e3cf708.jpg"" width=""70""/>，则该直线{{c1::（）}}。"	平行于x轴<br>与x轴相交<br>不通过原点<br>与x轴重合	B	"因<img height=""42"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/816f7788-64df-4782-b040-9ac23e3cf708.jpg"" width=""70""/>故在原直线的方程中可消去x及D，故得原直线在yOz平面上的投影直线方程为<img height=""49"" id=""图片 43"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6631968e-218d-41f1-9234-08dce812453b.jpg"" width=""99""/>在yOz平面上的投影过原点（将原点坐标（0，0，0）代入直线方程可得），故原直线必与x轴相交。"	
21. 已知直线L<sub>1</sub>过点M<sub>1</sub>（0，0，-1）且平行于x轴，L<sub>2</sub>过点M<sub>2</sub>（0，0，1）且垂直于xOz平面，则到两直线等距离点的轨迹方程为{{c1::（）}}。	x<sup>2</sup>+y<sup>2</sup>=4z<br>x<sup>2</sup>-y<sup>2</sup>=2z<br>x<sup>2</sup>-y<sup>2</sup>=z<br>x<sup>2</sup>-y<sup>2</sup>=4z	D	"两直线的方程为：<img height=""45"" id=""图片 46"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/95196eb0-5eb2-453c-84c3-38484bbdd85b.jpg"" width=""344""/>设动点为M（x，y，z），则由点到直线的距离的公式知：d<sub>i</sub>=｜M<sub>i</sub>M×l<sub>i</sub>｜<span style=""font-size:14px;font-family:'calibri','sans-serif'"">/</span>｜l<sub>i</sub>｜（其中l<sub>i</sub>是直线L<sub>i</sub>的方向向量），则：<img height=""45"" id=""图片 47"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9faf73cf-77da-4e31-bd70-cd954056da51.jpg"" width=""503""/><br/>由d<sub>1</sub>=d<sub>2</sub>得：d<sup>2</sup><sub>1</sub>=d<sup>2</sup><sub>2</sub>，故（z+1）<sup>2</sup>+y<sup>2</sup>=（z-1）<sup>2</sup>+x<sup>2</sup>，即x<sup>2</sup>-y<sup>2</sup>=4z。"	
22. 在平面x+y+z-2=0和平面x+2y-z-1=0的交线上有一点M，它与平面x+2y+z+1=0和x+2y+z-3=0等距离，则M点的坐标为{{c1::（）}}。	（2，0，0）<br>（0，0，-1）<br>（3，-1，0）<br>（0，1，1）	C	本题可用带入法进行选择：A项，点（2，0，0）不在平面x+2y-z-1=0上；B项，点（0，0，-1）不在平面x+y+z-2=0上；D项，点（0，1，1）与两平面不等距离；C项符合要求。	
"23. 设平面α平行于两直线<img height=""29"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5c41b5be-99a3-469f-8170-769d7072e9f5.png"" width=""78""/>及2x=y=z，且与曲面z=x<sup>2</sup>+y<sup>2</sup>+1相切，则α的方程为{{c1::（）}}。"	4x+2y-z=0<br>4x-2y+z+3=0<br>16x+8y-16z+11=0<br>16x-8y+8z-1=0	C	"两直线变形得：<img border=""0"" height=""60"" hspace=""0"" src=""http://admintk.100xuexi.com/UpLoadImage/2018-03-08/a066c151-bf4c-4167-a820-4760d3d29c51.jpg"" style=""width:249px;height:60px;float:none;"" title=""1.jpg"" vspace=""0"" width=""249""/>。由平面α平行于两已知直线可得，平面α的法向量为：n=（2，-2，1）×（1，2，2）=-3（2，1，-2）。设切点为（x<sub>0</sub>，y<sub>0</sub>，z<sub>0</sub>），则切点处曲面的法向量为（2x<sub>0</sub>，2y<sub>0</sub>，-1），故<img height=""38"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9b0052e9-01c2-4105-bd2b-d51a66639569.jpg"" width=""106""/>。<br/>由此解得<img height=""40"" id=""图片 50"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a78c8a37-a7b0-4831-82a8-3fdd2b8b36ee.jpg"" width=""121""/>从而<img height=""36"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/01451a54-7618-4647-adb7-944f3b49fc94.png"" width=""121""/>。因此α的方程为：<img height=""35"" id=""图片 52"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e5caf778-c0ff-43e8-a2ca-23f171b55743.jpg"" width=""242""/>即16x+8y-16z+11=0。"	
24. 三个平面x=cy+bz，y=az+cx，z=bx+ay过同一直线的充要条件是{{c1::（）}}。	a+b+c+2abc=0<br>a+b+c+2abc=1<br>a<sup>2</sup>+b<sup>2</sup>+c<sup>2</sup>+<sup>2</sup>abc=0<br>a<sup>2</sup>+b<sup>2</sup>+c<sup>2</sup>+2abc=1	D	"由于三个平面过同一直线线性齐次方程组<img height=""71"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2733d5af-a3b1-40e7-8154-5c467e2a4e68.png"" width=""99""/>有无穷解<img height=""17"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/314f61b8-f8e6-4bd8-a6a6-2c5214a5dc43.png"" width=""17""/>行列式<img height=""75"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/56f755c6-d36e-43f1-91e4-25f7d8d9f029.png"" width=""280""/>"	
"25. 通过直线<img height=""72"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fe3e1a44-7b30-47e6-bb52-b1fd4e615b40.png"" width=""81""/>和直线<img height=""70"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7ccafb89-b3e9-4855-9ba9-ef112788843c.png"" width=""79""/>的平面方程为{{c1::（）}}。"	x-z-2=0<br>x+z=0<br>x-2y+z=0<br>x+y+z=1	A	"因点（-1，2，-3）不在平面x+z=0上，故可排除B项；因点（3，-1，1）不在x-2y+z=0和x+y+z=1这两个平面上，故可排除CD两项，选A项。由于题目所给两条直线的方向向量相同，故为两条平行直线，且已知两个点分别为（-1，2，-3）和（3，-1，1），过这两个已知点的直线方程的方向向量为：（4，-3，4），故可求得通过这三条直线（两条平行线和一条与平行线相交的直线）平面的法向量为：<img src=""http://admintk.100xuexi.com/UpLoadImage/2017-06-17/5d552f82-e214-4f52-ac66-f480b161e853.jpg"" title=""1.jpg""/>，故平面方程为18x-18z+D=0，代入点（-1，2，-3）解得：D=-36，故平面方程为x-z-2=0。"	
"26. 直线L为<img height=""44"" id=""图片 56"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b7f413d6-67d5-4243-baea-363cc7074134.jpg"" width=""155""/>平面π为4x-2y+z-2=0，则{{c1::（）}}。"	L平行于π<br>L在π上<br>L垂直于π<br>L与π斜交	C	"直线L的方向向量为<img src=""http://admintk.100xuexi.com/UpLoadImage/2016-07-19/c53b2c6b-91c1-40f2-b9f7-eec15f663f2b.jpg"" title=""1.jpg""/>： 即s={-28，14，-7}。平面π的法线向量为：n={4，-2，1}。由上可得，s、n坐标成比例，即<img src=""http://admintk.100xuexi.com/UpLoadImage/2016-07-19/0b49eae9-c319-486b-a2b3-89eafb9ae49d.jpg"" title=""1.jpg""/>直线L垂直于平面π。"	
"27. 过点（-1，2，3）垂直于直线<img height=""29"" id=""图片 58"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8609cead-1420-4eee-b6ac-224d901cc1e7.jpg"" width=""86""/>且平行于平面7x+8y+9z+10=0的直线是{{c1::（）}}。"	"<img height=""41"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/76491360-4ffd-4a84-8e7c-173caec029a0.png"" width=""147""/><br><img height=""43"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4f2b8335-f873-4e40-a6d0-fbf15cb12a4b.png"" width=""142""/><br><img height=""38"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fb8bc89e-a045-4868-b4c4-790f8a62857b.png"" width=""141""/><br><img height=""37"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/88e65a27-90cf-4242-9713-273cb4fe99c7.png"" width=""141""/>"	A	"直线<img height=""33"" id=""图片 61"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0b2162b1-33eb-4a84-917f-ca39b2a1b34a.jpg"" width=""88""/>的方向向量为s=4，5，6，平面7x+8y+9z+10=0的法向量为n=7，8，9。显然A、B、C中的直线均过点（-1，2，3）。对于A中直线的方向向量为s<sub>1</sub>=1，-2，1，有s<sub>1</sub>⊥s，s<sub>1</sub>⊥n，可见A中直线与已知直线<img height=""33"" src=""http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bf096635-6abc-4c1e-b333-9fda61d15bbc.jpg"" width=""88""/>垂直，与平面7x+8y+9z+10=0平行。"	
