1. 项目管理的核心任务是项目的{{c1::（）}}。[2010年真题]	组织协调<br>目标控制<br>合同管理<br>风险管理	B	项目管理的核心任务是项目的目标控制，按项目管理学的基本理论，没有明确目标的建设工程不能成为项目管理的对象。
12. 某建设工程项目施工采用施工总承包管理模式，其中的二次装饰装修工程由建设单位发包给乙单位，在施工中，乙单位应该直接接受{{c1::（）}}的工作指令。[2011年真题]	建设单位<br>设计单位<br>施工总承包管理企业<br>施工总承包企业	C	在施工总承包管理模式中，不论是业主方选定的分包方，或经业主方授权由施工总承包管理方选定的分包方，施工总承包管理方都承担对其的组织和管理责任。
13. 在工程项目管理的内涵中，项目策划指的是目标控制前的一系列{{c1::（）}}。	施工组织设计工作<br>计划和协调工作<br>组织和管理工作<br>筹划和准备工作	D	建设工程项目管理的内涵是：自项目开始至项目完成，通过项目策划和项目控制，以使项目的费用目标、进度目标和质量目标得以实现。其中，“自项目开始至项目完成”指的是项目的实施期；“项目策划”指的是项目实施的策划（它区别于项目决策期的策划），即目标控制前的一系列筹划和准备工作。
14. 建设工程项目管理中的费用目标对施工方而言是{{c1::（）}}。	投资目标<br>成本目标<br>概算目标<br>预算目标	B	“费用目标”对业主而言是投资目标，对施工方而言是成本目标。
15. 在项目决策期管理工作的主要任务是{{c1::（）}}。	确定项目的定义<br>确定项目的计划<br>确定项目的目标<br>确定项目的管理	A	项目决策期管理工作的主要任务是确定项目的定义，项目实施期管理的主要任务是通过管理使项目的目标得以实现。
16. 按建设工程项目不同参与方的工作性质和组织特征划分，项目管理的类型不包括{{c1::（）}}的项目管理。	业主方<br>施工方<br>总承包方<br>分包方	D	按建设工程项目不同参与方的工作性质和组织特征划分，项目管理的类型有：①业主方的项目管理；②设计方的项目管理；③施工方的项目管理；④供货方的项目管理；⑤建设项目工程总承包方的项目管理等。
17. {{c1::（）}}包括满足相应的技术规范和技术标准的规定，以及满足业主方相应的质量要求。	施工目标<br>计划目标<br>进度目标<br>质量目标	D	项目的质量目标不仅涉及施工的质量，还包括设计质量、材料质量、设备质量和影响项目运行或运营的环境质量等。质量目标包括满足相应的技术规范和技术标准的规定，以及满足业主方相应的质量要求。
18. 项目在进度、投资、质量目标之间{{c1::（）}}的一面是指要加快进度往往需要增加投资，欲提高质量往往也需要增加投资，过度地缩短进度会影响质量目标的实现。	对立统一<br>矛盾<br>统一<br>和谐	B	项目的投资目标、进度目标和质量目标之间既有矛盾的一面，也有统一的一面，它们之间的关系是对立统一的关系。要加快进度往往需要增加投资，欲提高质量往往也需要增加投资，过度地缩短进度会影响质量目标的实现，这都表现了目标之间关系矛盾的一面；但通过有效的管理，在不增加投资的前提下，也可缩短工期和提高工程质量，这反映了关系统一的一面。
19. 编制项目建议书属于建设工程项目全寿命周期{{c1::（）}}。	决策阶段的工作<br>实施阶段的工作<br>设计准备阶段的工作<br>施工阶段的工作	A	建设工程项目的全寿命周期包括项目的决策阶段、实施阶段和使用阶段。其中，项目的决策阶段包括编制项目建议书、编制可行性研究报告。
20. 在业主方项目管理的任务中，最重要的任务是{{c1::（）}}。	合同管理<br>投资控制<br>质量控制<br>安全管理	D	在业主方项目管理的任务中，安全管理是项目管理中的最重要的任务，因为安全管理关系到人身的健康与安全，而投资控制、进度控制、质量控制和合同管理等则主要涉及物质利益。
21. 设计的成本目标、设计的进度目标和设计的质量目标，以及项目的投资目标是设计方的{{c1::（）}}所包含的内容。	项目管理<br>项目建设<br>项目投资<br>项目决策	A	设计方作为项目建设的一个参与方，其项目管理主要服务于项目的整体利益和设计方本身的利益。其项目管理的目标包括设计的成本目标、设计的进度目标和设计的质量目标，以及项目的投资目标。
22. 施工方的项目管理与设计方的项目管理都不涉及{{c1::（）}}。	决策阶段<br>施工阶段<br>设计准备阶段<br>设计阶段	A	设计方的项目管理工作主要在设计阶段进行，但它也涉及设计前的准备阶段、施工阶段、动用前准备阶段和保修期；施工方的项目管理工作主要在施工阶段进行，但它也涉及设计准备阶段、设计阶段、动用前准备阶段和保修期。在工程实践中，设计阶段和施工阶段往往是交叉的，因此施工方的项目管理工作也涉及设计阶段。
23. 指定的供应商的项目管理工作主要在建设工程项目的{{c1::（）}}进行。	决策阶段<br>准备阶段<br>设计阶段<br>施工阶段	D	供货方作为项目建设的一个参与方，其项目管理主要服务于项目的整体利益和供货方本身的利益。供货方的项目管理工作主要在施工阶段进行，但它也涉及设计准备阶段、设计阶段、动用前准备阶段和保修期。
24. 依据建设工程项目管理的概念，建设工程项目总承包方的项目管理工作涉及{{c1::（）}}全过程。	设计前准备阶段至保修期<br>设计阶段至动用前准备阶段<br>设计前准备阶段至动用前准备阶段<br>设计阶段至保修期	A	建设项目工程总承包方项目管理工作涉及项目实施阶段的全过程，即设计前的准备阶段、设计阶段、施工阶段、动用前准备阶段和保修期。
25. 施工方的{{c1::（）}}工作主要在施工阶段进行，同时该工作也涉及设计准备阶段、设计阶段、动用前准备阶段和保修期。	施工管理<br>人员管理<br>合同管理<br>项目管理	D	施工方的项目管理工作主要在施工阶段进行，但它也涉及设计准备阶段、设计阶段、动用前准备阶段和保修期。在工程实践中，设计阶段和施工阶段往往是交叉的，因此施工方的项目管理工作也涉及设计阶段。
26. 施工总承包方要负责{{c1::（）}}分包施工单位的施工，并为分包施工单位提供和创造必要的施工条件。	组织和管理<br>组织和协调<br>协调和管理<br>组织和指挥	D	施工总承包方是工程施工的总执行者和总组织者，它除了完成自己承担的施工任务以外，还负责组织和指挥它自行分包的分包施工单位和业主指定的分包施工单位的施工，并为分包施工单位提供和创造必要的施工条件。
27. 总承包管理方对所承包的建设工程施工进行总体管理和协调，一般情况下{{c1::（）}}。	它与分包方直接签订施工合同<br>它不承担施工任务<br>它不承担对业主选定分包方的管理责任<br>它不得干预业主选定分包方的施工	B	施工总承包管理方对所承包的建设工程承担施工任务组织的总的责任，一般情况下，施工总承包管理方不承担施工任务，它主要进行施工的总体管理和协调。如果施工总承包管理方通过投标（在平等条件下竞标）获得一部分施工任务，则它也可参与施工。
28. 在多数条件下，建设工程项目总承包采用{{c1::（）}}。	变动单价合同<br>固定总价合同<br>固定单价合同<br>变动总价合同	D	建设项目工程总承包的主要意义并不在于总价包干，也不是“交钥匙”，其核心是通过设计与施工过程的组织集成，促进设计与施工的紧密结合，以达到为项目建设增值的目的。即使采用总价包干的方式，稍大一些的项目也难以用固定总价包干，而多数采用变动总价合同。
