1. 三根等长，等糙率的并联管道，沿程水头损失系数相同，半径比为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c19c8bc9-7286-4e34-b371-f9269f3ba7a2.png" width="113"/>则通过的流量比为{{c1::（）}}。[2010年真题]	<br> <br> <br>	B	由于并联管道分流点与汇流点之间各管段水头损失皆相等，即<p style="text-align:center;text-indent:28px;text-align:center;"><img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/ad690685-9825-4fff-b3f0-42e384eac1b2.jpg" title="0.jpg"/>。</p><span style="font-size:14px">式中，<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/21da9aca-00d7-444e-9754-d8b3a480eb2a.jpg" title="1.jpg"/></span><span style="font-size:14px">，称为比阻，三根管道具有相同的糙率，且等长，其摩擦阻力系数λ相等。由题意可得：<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/71b0179e-53be-4f15-902e-a51f2b65b6ed.jpg" title="2.jpg"/></span><span style="font-size:14px">，<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/c4d90fe6-218f-4265-a258-d8b0ba558b67.jpg" title="3.jpg"/></span><span style="font-size:14px">。</span>
12. 长管并联管道与各并联管段的{{c1::（）}}。．	水头损失相等<br>总能量损失相等<br>水力坡度相等<br>通过的流量相等	A	两节点之间并接两根以上管段的管道就称为并联管道。总流量是分管段流量之和，各个分管段的首端和末端是相同的，那么这几个管段的水头损失都相等。即<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/546ef748-40b0-4c18-bbf8-fefb034e3d83.png" width="147"/>。
13. 有一管材、管径相同的并联管路，已知通过的总流量为0.08<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s，管径<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f59af78c-fda7-483a-b44d-2562ec87267d.png" width="17"/>=<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b6600523-00dc-476e-905f-5c5b456f532d.png" width="19"/>=200mm，管长<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/42f50f33-ec9c-49be-ae2a-6b3815803c2f.png" width="17"/>=400m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7f8bef60-76e1-4451-8922-30daf41170b7.png" width="19"/>=800m，沿程损失系数<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7f6f5767-3976-4539-965a-a77cf8aefb7c.png" width="47"/>=0.035，管中流量<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e032616f-401b-43cb-be06-b37a1933ac3c.png" width="19"/>和<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d688c910-e673-4524-98a8-4b5cdfa168e5.png" width="20"/>为{{c1::（）}}。	=0.047／s，=0.033／s<br>=0.057／s，=0.023／s<br>=0.050／S，=0.040／s<br>=0.050／S，=0.020／S	A	根据并联管路的计算原理以及能量方程和连续性方程，可知：<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3cdc26b8-7f18-4b66-acd4-60b6878a18dc.png" width="77"/>，<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c15f11e2-bb6c-4b26-b93f-9a5da19a41dc.png" width="60"/>又<img height="27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/09124759-ffbb-4f9d-aa95-a7ce33561ec6.png" width="67"/>，<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a9896010-2666-40fb-a9ab-3ea1fc9e6285.png" width="75"/>，得<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fb0c8e2b-3394-4ae7-9dbb-f35b5cab9814.png" width="81"/>，所以<img height="48" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b9e34e4a-d13e-4f9d-bd8d-3392c2363bdf.png" width="107"/>。可得：<img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/834be4e9-9d0c-4354-bedc-6605a1499fc2.png" width="60"/>。由<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5f0c42b0-a617-4774-ba7a-ece9f76529fa.png" width="159"/>得：<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e032616f-401b-43cb-be06-b37a1933ac3c.png" width="19"/>=0.047<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d688c910-e673-4524-98a8-4b5cdfa168e5.png" width="20"/>=0.033<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s。
14. 有压管道恒定流中，液体运动方向{{c1::（）}}。	总是从压强大的地方流向压强小的地方<br>总是从流速大的地方流向流速小的地方<br>总是从位置高的地方流向位置低的地方<br>以上答案均不对	D	如果在流场中任何空间点上所有的运动要素都不随时间而改变，这种流动称为恒定流。有压管道恒定流中，液体总是从单位机械能大处流向单位机械能小处。
15. 如图1-4-6所示，水在变直径竖管中流动，已知粗管直径d<sub>1</sub>=300mm，流速v<sub>1</sub>=6m/s。为使两断面的压力表读数值相同，且不计水头损失，则细管直径为{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3470" height="348" id="图片 92" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f526f014-eb5e-4cc4-87b6-e1c655565988.jpg" width="133"/></span><span style="display:block;text-align:center;">图1-4-6</span>	0.24<br>0.35<br>0.45<br>0.54	A	由题意可知，粗、细管两断面的压力表读数值相同，且不计水头损失。根据能量方程<img height="47" id="图片 91" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/057b0ea4-f942-4231-b6a1-c235148d6efb.png" width="224"/>，可求得细管断面的流速为：<img height="32" id="图片 90" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4dfa8e74-0648-4960-802c-7c5253037f42.png" width="351"/>，根据连续性方程<img height="25" id="图片 89" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0ba615e0-c7d8-4b2b-9113-2974ecda8ec4.png" width="75"/>，可求得细管直径为：<img height="51" id="图片 88" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/cfce8543-6760-4bca-8825-1cefcfdd1af6.png" width="241"/>。
16. 如图1-4-7所示，在水平管路中，通过的流量Q=2.5L/s，已知d<sub>1</sub>=50mm，d<sub>2</sub>=25mm，p<sub>1</sub>=9.8kPa，若忽略两断面间的水头损失，则连接于该管收缩断面上的水管可将水自容器内吸上的高度为{{c1::（）}}cm。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3480" height="189" id="图片 87" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/19ef42eb-474e-4ce6-adb8-92aaa345e849.jpg" width="281"/></span><span style="display:block;text-align:center;">图1-4-7</span>	15<br>24<br>30<br>34	B	根据连续性方程<img height="25" id="图片 86" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0ba615e0-c7d8-4b2b-9113-2974ecda8ec4.png" width="75"/>，以及Q=Av，<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e422fd3b-9c99-4444-aca9-7f00f3ec27e5.png" width="89"/>可得：<img height="48" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fbe1160b-40b4-4f8b-8de7-2eef741084c4.png" width="243"/>，<img height="48" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/723fda05-583c-44a9-96a2-161904cf7e24.png" width="249"/><br/>由<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6bf693b9-850b-4b01-898a-2b3b9e0d065b.png" width="124"/>可得：<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/03f93355-a389-4f57-8f52-991ca8a86c3b.png" width="429"/>，<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fc0d0bd5-77a2-495f-a5ea-58bf0b489acc.png" width="180"/>。
17. 有压管流中，若过水断面面积相同，则过水能力最大的过水断面形状为{{c1::（）}}。	圆形<br>多边行<br>正方形<br>矩形	A	水力半径大者沿程水头损失小，在其他条件相同时，过水能力也大，在过水断面面积相同的情况下，圆形过水断面水力半径最大。
18. 水泵的扬程是指{{c1::（）}}。	水泵提水高度<br>水泵提水高度+吸水管的水头损失<br>水泵提水高度+吸水管与压水管的水头损失<br>以上答案都不是	C	水泵的扬程是指单位重量的水体通过水泵所获得的能量，即水泵能够扬水的高度，水泵扬程=水泵提水高度+吸水管与压水管的水头损失。
19. 根据管道水头损失计算方法的不同，管道可以分为{{c1::（）}}。	简单管与复杂管<br>长管与短管<br>并联管与串联管<br>分叉管与沿程均匀泄流管	B	为了便于工程上的计算，常按这两类水头损失在总水头损失中所占的比重而将管道分为长管和短管。①长管是指管流的流速水头和局部水头损失的总和与沿程水头损失比较起来很小，大约为<img height="25" id="图片 85" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5fd29341-117e-4202-bafe-ae1ebd542506.jpg" width="227"/>，因而计算时流速水头和局部水头损失均可忽略；②短管是指管流的流速水头和局部水头损失的总和与沿程水头损失相比占相当比例，即<img height="23" id="图片 84" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a6606ab4-e9db-4f78-8c8e-f08f5ef03fc3.jpg" width="216"/>，计算时流速水头和局部水头损失均不能忽略。
20. 管流的负压区是指测压管水头线{{c1::（）}}。	在基准面以下的部分<br>在下游自由水面以下的部分<br>在管轴线以下的部分<br>在基准面以上的部分	C	管流的负压区相对压强P＜0，则测压管水头z+p/γ＜z，即测压管水头小于位置水头，所以管流的负压区的测压管水头线低于管轴线。
21. 长管的总水头线与测压管水头线{{c1::（）}}。	相重合<br>相平行，呈直线<br>相平行，呈阶梯状<br>无法确定	A	长管是指管流的流速水头和局部水头损失的总和与沿程水头损失比较起来很小，大约为<img height="24" id="图片 83" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9a326023-4d10-46fc-b859-f1d0f083d8e3.jpg" width="204"/>，因而计算时流速水头和局部水头损失均可忽略，所以长管的总水头线与测压管水头线相重合。
22. 对于如图1-4-8所示分叉管路，下列关系式中错误的是{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3970" height="206" id="图片 82" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/49e2c07f-5819-4b14-a951-20a156116ba1.jpg" width="277"/></span><span style="display:block;text-align:center;">图1-4-8</span>	Q1=Q2+Q3<br><br><br>	B	图1-4-8所示为分叉管道，满足的方程式包括：①连续性方程：Q<sub>1</sub>=Q<sub>2</sub>+Q<sub>3</sub>；<br/>②主干管至任一分叉的支管都可看做为一串联管道，所以分叉管道的水力计算可按串联管道计算，即：<img height="41" id="图片 78" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b77325ac-4905-4561-bef3-b6cfcd262a82.png" width="223"/>，<img height="46" id="图片 77" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/56c94e18-36f4-41cc-9d4a-4367d88821f9.png" width="228"/><br/>③根据能量守恒原理，可得：<img height="45" id="图片 76" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/afcdce1c-fa9a-4e15-a5f3-1624033ce053.png" width="523"/>
