1. 下列施工质量控制措施中，属于事前控制的是{{c1::（）}}。[2012年真题]	设计交底<br>重要结构实体检测<br>隐蔽工程验收<br>施工质量检查验收	A	施工质量控制应贯彻全面、全过程质量管理的思想，运用动态控制原理，进行质量的控制，主要有：①事前质量控制，即在正式施工前进行的事前主动质量控制；②事中质量控制，指在施工质量形成过程中，对影响施工质量的各种因素进行全面的动态控制；③事后质量控制，又称事后质量把关,以使不合格的工序或最终产品（包括单位工程或整个工程项目）不流入下道工序、不进入市场。
14. 施工质量检查中工序交接检查的“三检”制度是指{{c1::（）}}。[2013年真题]	质量员检查、技术负责人检查、项目经理检查<br>施工单位检查、监理单位检查、建设单位检查<br>自检、互检、专检<br>施工单位内部检查、监理单位检查、质量监督机构检查	C	对于重要的工序或对工程质量有重大影响的工序，应严格执行“三检”制度，即自检、互检、专检。未经监理工程师（或建设单位项目技术负责人）检查认可，不得进行下道工序施工。
15. 根据施工技术交底有关规定，项目开工前向承担施工的负责人或分包人进行书面技术交底的人，应该是{{c1::（）}}。[2013年真题]	项目经理<br>项目质检员<br>项目专职安全员<br>项目技术负责人	D	项目开工前应由项目技术负责人向承担施工的负责人或分包人进行书面技术交底，技术交底资料应办理签字手续并归档保存。每一分部工程项目开工前均应进行作业技术交底。技术交底书应由施工项目技术人员编制，并经项目技术负责人批准实施。
16. 关于工程质量现场质量检测的说法，错误的是{{c1::（）}}。[2012年真题]	检测和判断桩身完整性采用低应变法<br>设计等级为乙级的桩基必须进行桩的承载力检测<br>按非统计方法评定混凝土强度时，混凝土试块留置数量不应少于3组<br>钢筋保护层厚度检测应抽取构件数量的1％且不少于5个构件进行检测	D	D项，钢筋保护层厚度检验的结构部位，应由监理（建设）、施工等各方根据结构构件的重要性共同选定；对梁类、板类构件，应各抽取构件数量的2％且不少于5个构件进行检验。
17. 对各种投入要素质量和环境条件质量的控制，属于施工过程质量控制中{{c1::（）}}的工作。[2014年真题]	工序施工质量控制<br>技术交底<br>测量控制<br>计量控制	A	工序施工质量控制主要包括工序施工条件质量控制和工序施工效果质量控制。工序施工条件是指从事工序活动的各生产要素质量及生产环境条件。工序施工条件控制就是控制工序活动的各种投入要素质量和环境条件质量。控制的手段主要有：检查、测试、试验、跟踪监督等。控制的依据主要有：设计质量标准、材料质量标准、机械设备技术性能标准、施工工艺标准以及操作规程等。
18. 对于地基基础设计等级为甲级或地质条件复杂、成桩质量可靠性低的灌注桩所形成的地基及复合地基，应采用{{c1::（）}}进行检验。[2009年真题]	静载荷试验的方法<br>低应变法<br>高应变法<br>动载荷试验的方法	A	对于地基基础设计等级为甲级或地质条件复杂、成桩质量可靠性低的灌注桩，应采用静载荷试验的方法进行检验，检验桩数不应少于总数的1%，且不应少于3根。
19. 下列质量控制点的重点控制对象中，属于施工技术参数类的是{{c1::（）}}。[2015年真题]	水泥的安定性<br>预应力钢筋的张拉<br>砌体砂浆的饱满度<br>混凝土浇筑后的拆模时间	C	混凝土的外加剂掺量、水灰比；回填土的含水量；砌体的砂浆饱满度；防水混凝土的抗渗等级；钢筋混凝土结构的实体检测结果；混凝土冬期施工受冻临界强度等，这些参数都是施工技术参数中应重点控制的质量参数与指标。
20. 施工过程中，工程质量验收的最小单位是{{c1::（）}}。[2012年真题]	分项工程<br>单位工程<br>分部工程<br>检验批	D	检验批是工程验收的最小单位，是分项工程乃至整个建筑工程质量验收的基础。检验批是施工过程中条件相同并有一定数量的材料、构配件或安装项目，由于其质量基本均匀一致，因此可以作为检验的基础单位，并按批验收。
21. 检验批质量验收时，认定其为质量合格的条件之一是主控项目质量{{c1::（）}}。[2009年真题]	抽检合格率至少达到85%<br>抽检合格率至少达到90%<br>抽检合格率至少达到95%<br>全部符合有关专业工程验收规范的规定	D	检验批的合格质量主要取决于对主控项目和一般项目的检验结果。主控项目是对检验批的基本质量起决定性影响的检验项目，因此,必须全部符合有关专业工程验收规范的规定。
22. 某工程在竣工质量验收时，参与竣工验收的设计单位与施工、监理单位发生争议，无法形成一致的意见，该情况下，正确的做法是{{c1::（）}}。[2012年真题]	由建设单位做出验收结论<br>由质量监督站调解并做出验收结论<br>协商一致后重新组织验收并做出验收结论<br>请建设行政主管部门调解并做出验收结论	C	参与工程竣工验收的建设、勘察、设计、施工、监理等各方不能形成一致意见时，应当协商提出解决方法，待意见一致后，重新组织工程竣工验收。
23. 在施工质量保证体系的运行中，{{c1::（）}}包括对质量活动结果的评价认定和对质量偏差的纠正。	系统控制<br>事后控制<br>事中控制<br>事前控制	B	事后质量控制包括对质量活动结果的评价、认定和对质量偏差的纠正。控制的重点是发现施工质量方面的缺陷，并通过分析提出施工质量改进的措施，保持质量处于受控状态。
24. 下列属于施工质量控制应遵循的共同性依据的是{{c1::（）}}。	有关材料验收的技术标准<br>施工工艺质量方面的技术法规<br>《质量管理条例》<br>新材料的质量规定	C	施工质量控制的共同性依据主要包括：①工程建设合同；②设计文件、设计交底及图纸会审记录、设计修改和技术变更等；③国家和政府有关部门颁布的与质量管理有关的法律和法规性文件，如《建筑法》、《招标投标法》和《质量管理条例》等。
25. 材料的检验方法中，{{c1::（）}}是在不破坏材料样品的前提下，利用超声波、X射线、表面探伤仪等进行的检测。	外观检验<br>理化检验<br>书面检验<br>无损检测	D	无损检测是利用专门的仪器仪表从表面探测结构物、材料、设备的内部组织结构或损伤情况。常用的无损检测方法有超声波探伤、X射线探伤、γ射线探伤等。
26. 在对下列项目进行现场质量检查时，可以采用“靠”的手段的是{{c1::（）}}。	混凝土塌落度<br>地面的平整度<br>地面工程中的水磨石<br>管道井内的管线安装质量	B	“靠”是用直尺、塞尺检查诸如墙面、地面、路面等的平整度。A项可采用“量”的方法检查；C项可采用“敲”的方法检查；D项可采用“照”的方法检查。
27. 某建筑公司承建的工程项目，建设工期很紧，为了保障工程建设的顺利进行，建设单位向建筑公司及时提供了原始基准点、基准线和标高等资料。施工单位应{{c1::（）}}。	按照建设单位提供的资料及时开始施工<br>首先进行复核，然后将复测结果报监理单位审核<br>首先进行复核，然后将复测结果报设计单位审核<br>首先进行复核，然后将复测结果报勘察单位审核	B	施工单位必须对建设单位提供的原始坐标点、基准线和水准点等测量控制点进行复核，并将复测结果上报监理工程师审核，批准后施工单位才能据此建立施工测量控制网，进行工程定位和标高基准的控制。
28. 下列材料的取样方法不正确的是{{c1::（）}}。	热轧钢筋按同牌号、同炉罐号、同规格、同交货状态，重量不大于60t的钢筋为一个检验批。从每批钢筋中抽取5%进行外观检查<br>热轧钢筋力学性能试验从每批钢筋中任选两根钢筋，每根取两个试样分别进行拉伸试验和冷弯试验<br>钢筋闪光对焊连接以在同一班内，由同一焊工，按同一焊接参数完成的300个同类型接头作为一批。外观检查，每批抽查10%的接头，并不得少于10个<br>钢筋闪光对焊连接力学性能试验包括拉伸试验和弯曲试验，应从每批成品中切取6个试样，分别进行拉伸试验和冷弯试验	D	D项，力学性能试验从每批钢筋中任选两根钢筋，每根取两个试样分别进行拉伸试验（包括屈服点、抗拉强度和伸长率）和冷弯试验。
29. 关于技术交底的要求，下列说法正确的是{{c1::（）}}。	技术交底由项目技术负责人编制，经项目经理批准实施<br>主要分项工程开工前做技术交底，次要分项工程开工前可以省略不做<br>技术交底由项目技术人员编制，经项目技术负责人批准实施<br>技术交底由项目技术人员向分包人口头讲述	C	A项，技术交底应由施工项目技术人员编制，并经项目技术负责人批准实施；BD两项，项目开工前应由项目技术负责人向承担施工的负责人或分包人进行书面技术交底。
30. 施工过程的质量控制，必须以{{c1::（）}}为基础和核心。	工序的质量控制<br>最终产品质量控制<br>实体质量控制<br>质量控制点	A	施工过程是由一系列相互联系与制约的工序构成，工序是人、材料、机械设备、施工方法和环境因素对工程质量综合起作用的过程，所以对施工过程的质量控制，必须以工序质量控制为基础和核心。
31. 下列工作中，属于特殊过程的质量控制工作内容的是{{c1::（）}}。	选择质量控制点并实施控制<br>建筑物施工过程中的沉降观测<br>对施工中各种投入要素质量进行控制<br>对可能引起工程变更的因素和条件进行管理和控制	A	特殊过程是指该施工过程或工序的施工质量不易或不能通过其后的检验和试验而得到充分的验证，或者万一发生质量事故则难以挽救的施工过程。特殊过程的质量控制是施工阶段质量控制的重点，对在项目质量计划中界定的特殊过程，应设置工序质量控制点，抓住影响工序施工质量的主要因素进行强化控制。B项是测量控制的工作内容；C项是工序施工质量控制的工作内容；D项是工程变更控制的工作内容。
32. 控制重型构件吊装作业的施工质量时，应以{{c1::（）}}作为质量控制点的重点控制对象。	人的行为<br>材料的质量<br>施工顺序<br>技术间歇	A	某些操作或工序，应以人为重点控制对象，比如：高空、高温、水下、易燃易爆、重型构件吊装作业以及操作要求高的工序和技术难度大的工序等，都应从人的生理、心理、技术能力等方面进行控制。
33. 下列施工质量控制点中，从施工方法与关键操作的角度进行重点控制的是{{c1::（）}}。	液压滑模施工时支承杆稳定控制<br>混凝土的外加剂掺量控制<br>抹灰层干燥后才能刷浆<br>砌体的砂浆饱满度控制	A	BD两项是从施工技术参数的角度进行重点控制；C项是从技术间歇的角度进行重点控制。
34. 混凝土的外加剂掺量、水灰比属于质量控制中重点控制的{{c1::（）}}。	关键操作与施工方法<br>材料的质量<br>施工技术参数<br>技术间歇	C	施工技术参数的控制，如混凝土的外加剂掺量、水灰比，回填土的含水量，砌体的砂浆饱满度，防水混凝土的抗渗等级、钢筋混凝土结构的实体检测结果及混凝土冬期施工受冻临界强度等技术参数都是应重点控制的质量参数与指标。
35. 在施工质量控制点的控制中，对冷拉钢筋应注意先焊接之后再进行冷拉，这是从{{c1::（）}}方面加强重点控制。	关键操作<br>技术间歇<br>施工顺序<br>施工技术参数	C	对于某些工序之间必须严格控制施工的先后顺序，比如对冷拉的钢筋应当先焊接后冷拉，否则会失去冷强；屋架的安装固定，应采取对角同时施焊方法，否则会由于焊接应力导致校正好的屋架发生倾斜。
36. 检验批质量验收合格应符合下列{{c1::（）}}规定。	主控项目和一般项目检验合格<br>工序操作及施工作业质量合格<br>投入的施工生产要素质量合格<br>已完施工产品质量检验合格	A	检验批质量验收合格应符合下列规定：①主控项目的质量经抽样检验均应合格；②一般项目的质量经抽样检验合格；③具有完整的施工操作依据、质量检查记录。
37. 工程完工后，施工单位向建设单位提交工程竣工报告，申请工程竣工验收。实行监理的工程，工程竣工报告须经{{c1::（）}}签署意见。	专业监理工程师<br>总监理工程师<br>施工技术人员<br>施工方项目经理	B	工程完工后，施工单位向建设单位提交工程竣工报告，申请工程竣工验收。实行监理的工程，工程竣工报告须经总监理工程师签署意见。建设单位收到工程竣工报告后，对符合竣工验收要求的工程，组织勘察、设计、施工、监理等单位组成验收组，制定验收方案。对于重大工程和技术复杂工程，根据需要可邀请有关专家参加验收组。
38. 工程竣工质量验收应由{{c1::（）}}组织。	建设单位<br>监理单位<br>施工单位<br>设计单位	A	建设单位收到工程竣工报告后，对符合竣工验收要求的工程，组织勘察、设计、施工、监理等单位组成验收组，制定验收方案，组织工程竣工验收。
39. 下列项目中，不符合竣工预验收要求的是{{c1::（）}}。	完成工程设计和合同约定的各项内容<br>工程竣工报告应经项目经理签字<br>建设单位工程款来源已落实<br>技术档案和施工管理资料完整	C	C项属于工程招标的前提条件。
40. 工程竣工验收公过程中，当参与工程竣工验收的建设、勘察、设计、施工、监理等各方不能形成一致意见时，应如何处置？{{c1::（）}}	按照建设单位的意见处理<br>协商提出解决方法后，重新组织工程竣工验收<br>建设单位参照监理单位意见自行解决<br>若一致认为可通过的人数过半则通过验收	B	参与工程竣工验收的建设、勘察、设计、施工、监理等各方不能形成一致意见时，应当协商提出解决的方法，待意见一致后，重新组织工程竣工验收。
41. 正式验收一般应该在{{c1::（）}}之后进行。	监理单位接到施工单位的质量评估报告和竣工报验单<br>建设单位接到监理单位的质量评估报告和竣工报验单<br>建设单位接到施工单位的质量评估报告和竣工报验单<br>建设单位接到政府主管部门的质量评估报告和竣工报验单	B	项目主管部门或建设单位在接到监理单位的质量评估和竣工报验单后，经审查，确认符合竣工验收条件和标准，即可组织正式验收。
42. 建设单位组织竣工验收的正确程序是{{c1::（）}}。	相关参与单位汇报合同履行情况及相关法律、法规和标准的执行情况→审阅相关参与方的工程档案资料→实地查验工程质量→全面评价并形成工程竣工验收意见<br>相关参与单位汇报合同履行情况及相关法律、法规和标准的执行情况→实地查验工程质量→审阅相关参与方的工程档案资料→全面评价并形成工程竣工验收意见<br>实地查验工程质量→相关参与单位汇报合同履行情况及相关法律、法规和标准的执行情况→审阅相关参与方的工程档案资料→全面评价并形成工程竣工验收意见<br>实地查验工程质量→审阅相关参与方的工程档案资料→相关参与单位汇报合同履行情况及相关法律、法规和标准的执行情况→全面评价并形成工程竣工验收意见	A	建设单位组织竣工验收的程序是：①建设、勘察、设计、施工、监理单位分别汇报工程合同履约情况和在工程建设各个环节执行法律、法规和工程建设强制性标准的情况；②审阅建设、勘察、设计、施工、监理单位的工程档案资料；③实地查验工程质量；④对工程勘察、设计、施工、设备安装质量和各管理环节等方面做出全面评价，形成经验收组人员签署的工程竣工验收意见。
43. 关于施工项目竣工验收的规定，下列表述正确的是{{c1::（）}}。	施工单位应当在工程竣工验收7个工作日前书面通知监督机构<br>验收时须邀请有关专家参加<br>当参与项目建设各方面不能形成一致意见时，由监理工程师决定验收结论<br>工程竣工验收合格后，建设单位应当及时提出工程竣工验收报告	D	A项，建设单位应当在工程竣工验收7个工作日前将验收的时间、地点以及验收组名单书面通知负责监督该工程的工程质量监督机构；B项，对于重大工程和技术复杂工程，根据需要可邀请有关专家参加验收组；C项，当参与各方不能形成一致意见时，应当协商提出解决方法，待意见一致后，再重新组织竣工验收。
