1. 三根等长，等糙率的并联管道，沿程水头损失系数相同，半径比为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c19c8bc9-7286-4e34-b371-f9269f3ba7a2.png" width="113"/>则通过的流量比为（　　）。[2010年真题]
12. 长管并联管道与各并联管段的（　　）。．
13. 有一管材、管径相同的并联管路，已知通过的总流量为0.08<img height="20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2927c468-7ba0-4829-8de3-545216514495.png" width="23"/>／s，管径<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f59af78c-fda7-483a-b44d-2562ec87267d.png" width="17"/>=<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b6600523-00dc-476e-905f-5c5b456f532d.png" width="19"/>=200mm，管长<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/42f50f33-ec9c-49be-ae2a-6b3815803c2f.png" width="17"/>=400m，<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7f8bef60-76e1-4451-8922-30daf41170b7.png" width="19"/>=800m，沿程损失系数<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7f6f5767-3976-4539-965a-a77cf8aefb7c.png" width="47"/>=0.035，管中流量<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e032616f-401b-43cb-be06-b37a1933ac3c.png" width="19"/>和<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d688c910-e673-4524-98a8-4b5cdfa168e5.png" width="20"/>为（　　）。
14. 有压管道恒定流中，液体运动方向（　　）。
15. 如图1-4-6所示，水在变直径竖管中流动，已知粗管直径d<sub>1</sub>=300mm，流速v<sub>1</sub>=6m/s。为使两断面的压力表读数值相同，且不计水头损失，则细管直径为（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3470" height="348" id="图片 92" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f526f014-eb5e-4cc4-87b6-e1c655565988.jpg" width="133"/></span><span style="display:block;text-align:center;">图1-4-6</span>
16. 如图1-4-7所示，在水平管路中，通过的流量Q=2.5L/s，已知d<sub>1</sub>=50mm，d<sub>2</sub>=25mm，p<sub>1</sub>=9.8kPa，若忽略两断面间的水头损失，则连接于该管收缩断面上的水管可将水自容器内吸上的高度为（　　）cm。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3480" height="189" id="图片 87" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/19ef42eb-474e-4ce6-adb8-92aaa345e849.jpg" width="281"/></span><span style="display:block;text-align:center;">图1-4-7</span>
17. 有压管流中，若过水断面面积相同，则过水能力最大的过水断面形状为（　　）。
18. 水泵的扬程是指（　　）。
19. 根据管道水头损失计算方法的不同，管道可以分为（　　）。
20. 管流的负压区是指测压管水头线（　　）。
21. 长管的总水头线与测压管水头线（　　）。
22. 对于如图1-4-8所示分叉管路，下列关系式中错误的是（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3970" height="206" id="图片 82" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/49e2c07f-5819-4b14-a951-20a156116ba1.jpg" width="277"/></span><span style="display:block;text-align:center;">图1-4-8</span>
23. 某串联管路系统如图1-4-9所示，由直径分别为d<sub>1</sub>=0.3m、d<sub>2</sub>=0.2m和d<sub>3</sub>=0.15m的三段铸铁管（糙率n=0.0125）组成，管道长度分别为l<sub>1</sub>=102m，l<sub>2</sub>=100m，l<sub>3</sub>=98m。若中途分出流量q<sub>1</sub>=0.052m<sup>3</sup>/s和q<sub>2</sub>=0.048m<sup>3</sup>/s，末端出口流量Q<sub>3</sub>=0.05m<sup>3</sup>/s，则保证上述供水所需要的水头H为（　　）m。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3520" height="182" id="图片 75" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9ce26a74-3aa5-4996-bb04-70902915626f.jpg" width="440"/></span><span style="display:block;text-align:center;">图1-4-9</span>
24. 以下均属于复杂管道的是（　　）。
25. 图1-4-10所示为一跨河倒虹吸管，圆管直径d=0.8m，管长l=50m，每个30°折角、进口和出口的局部水头损失系数分别为ζ<sub>1</sub>=0.2，ζ<sub>2</sub>=0.5，ζ<sub>3</sub>=1.0，沿程水头损失系数λ=0.024，上下游水位差H=3m，水流运动粘度v=0.0101cm<sup>2</sup>/s，上下游的行近流速水头均忽略不计，则通过倒虹吸管的流量Q以及管中水流流态分别为（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3980" height="123" id="图片 69" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a0963886-5fcc-4df9-a0ab-2bd23c72c1dc.jpg" width="360"/></span><span style="display:block;text-align:center;">图1-4-10</span>
26. 如图1-4-11所示，某渠道用直径d=0.7m的混凝土虹吸管自河中向渠道引水。河道水位与渠道水位的高差为5m，虹吸管长度l<sub>1</sub>=8m，l<sub>2</sub>=12m，l<sub>3</sub>=14m，混凝土虹吸管沿程水头损失系数λ为0.022，进口局部水头损失系数ζ<sub>e</sub>=0.5，中间有两个弯头，每个弯头的局部水头损失系数ζ<sub>B</sub>=0.365，出口局部水头损失系数ζ<sub>ou</sub>=1.0。当虹吸管的最大允许真空度为7m时，则虹吸管的安装高度为（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3990" height="182" id="图片 66" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4c3acc70-69a6-4c04-85c0-65b2203305af.jpg" width="398"/></span><span style="display:block;text-align:center;">图1-4-11</span>
27. 某离心泵管路系统如图1-4-12所示，其流量Q=50L/s，提水高度H<sub>p</sub>=20m。水泵的吸水管长l<sub>1</sub>=8m，直径d<sub>1</sub>=0.20m，压水管长l<sub>2</sub>=40m，直径d<sub>2</sub>=0.15m，沿程水力摩擦系数λ<sub>s</sub>=0.025，吸水管底阀局部水头损失系数ζ<sub>1</sub>=4.0，弯头ζ<sub>2</sub>=0.5每个，逆止阀ζ<sub>3</sub>=5.0，阀门ζ<sub>4</sub>=0.5，出水口ζ<sub>5</sub>=1.0。若水泵最大允许真空度为6.0m。则水泵的允许安装高度为______；水泵的扬程为______；若电动机与水泵总效率为75％，则水泵的装机容量为______。下列选项中正确的是（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC4000" height="253" id="图片 60" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c9c1740d-e860-4094-a4c0-0d5429dff52b.jpg" width="409"/></span><span style="display:block;text-align:center;">图1-4-12</span>
28. 有三段管道并联如图1-4-13所示，若通过并联管道的总流量Q=0.26m<sup>3</sup>/s，管径d<sub>1</sub>=0.3m、d<sub>2</sub>=0.25m、d<sub>3</sub>=0.225m，管长l<sub>1</sub>=100m、l<sub>2</sub>=130m和l<sub>3</sub>=120m，管道为铸铁管n=0.0125。则并联管道两节点A、B之间的水头损失h<sub>f</sub>以及各支管流量Q<sub>1</sub>、Q<sub>2</sub>和Q<sub>3</sub>分别为（　　）。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC4010" height="86" id="图片 50" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b7c78be5-d36c-4a6b-be4e-545bfbc5b563.jpg" width="296"/></span><span style="display:block;text-align:center;">图1-4-13</span>
