1. 计算地基中的附加应力时，应采用{{c1::（）}}。[2013年真题]	基底附加压力<br>基底压力<br>基底净反力<br>地基附加压力	A	建筑物建造前，土中早已存在自重应力，基底附加压力是基底压力与基底处建造前土中自重应力之差，是引起地基附加应力和变形的主要原因。
12. 从地面到深度3m处共有两层土，第一层土的天然重度为18kN/m<sup>3</sup>，饱和重度为20kN/m<sup>3</sup>，土层厚为2m；第二层土的饱和重度为19kN/m<sup>3</sup>，土层厚为1m，地下水位距地面1m，地面下深度3m处的自重应力为{{c1::（）}}KPa	27<br>37<br>47<br>57	B	根据有效应力原理，地面下深度为z处的土层竖向自重应力，等于该处单位面积上土柱的有效重量，按下式计算：<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/d397816d-b27b-402f-b8fa-5fa14ff4e128.jpg" title="1.jpg"/>；地下水位距地面1m，第一层土分两部分计算，第一部分为到水位的距离，采用天然重度为18kN/m<sup>3</sup>，第二部分采用浮重度为20-10=10kN/m<sup>3</sup>；第二层浮重度为19-10=9kN/m<sup>3</sup>。则地下3m深度处的自重应力为：<img src="http://admintk.100xuexi.com/UpLoadImage/2017-07-25/b79bdef7-f8ce-4dd9-8122-a6581537cd8e.jpg" title="2.jpg"/>。<span style="font-size:14px"></span>
13. 有关有效应力原理，下列说法正确的是{{c1::（）}}。	土中的自重应力属于有效应力<br>土中的自重应力属于附加应力<br>地基土层中水位上升不会引起有效应力的变化<br>地基土层中水位下降不会引起有效应力的变化	A	有效应力原理：作用于饱和土体内某截面上总的正应力σ由两部分组成：一部分为孔隙水压力μ，它沿着各个方向均匀作用于土颗粒上，其中由孔隙水自重引起的称为静水压力，由附加应力引起的称为超静孔隙水压力（通常简称为孔隙水压力）；另一部分为有效应力σ′，它作用于土的骨架（土颗粒）上，其中由土粒自重引起的即为土的自重应力，由附加应力引起的称为附加有效应力。饱和土中总应力与孔隙水压力、有效应力之间存在如下关系：<img height="13" id="图片 21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c972ce4a-094d-4e2b-8a1e-3e909286c9b4.png" width="15"/>＝<img height="13" id="图片 20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c972ce4a-094d-4e2b-8a1e-3e909286c9b4.png" width="15"/>′＋u知，当地下水位下降时，u减小，总应力不变，有效应力增大，反之地下水位上升，有效应力减小。
14. 与受中心荷载作用的基础相比，偏心荷载作用下地基极限承载力将{{c1::（）}}。	提高<br>不变<br>降低<br>不确定	B	地基极限承载力是指使地基土发生剪切破坏而失去整体稳定时相应的最小基础底面压力，地基极限承载力不受荷载形式的影响，它由地基土层的性质决定。
15. 某地矩形基础埋深为1.5m，底面尺寸为2m×3m，柱作用于基础的轴心荷载F=900kN，弯矩M=310kN·m，（沿基础长边方向作用）基础和基础台阶上土的平均厚度<img height="17" id="图片 19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/450ffefb-4d48-4de5-adcc-e95be8dc8aef.png" width="13"/>=20KN/m<sup>3</sup>，试问基础底面边缘最大的地基反力接近于下列哪个值？{{c1::（）}}	196.7kPa<br>283.3kPa<br>297.0kPa<br>506.7kPa	B	基础底面边缘最大的地基反力是指在自重应力、附加应力和弯矩作用下的压应力。弯矩下的压应力为合弯矩除以抵抗矩。所以基础底面边缘最大的地基反力为：<img height="50" id="图片 18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/5cf60ef8-76a3-4462-9599-5995d1d563ae.png" width="317"/>。
16. 埋深为d的浅基础，一般情况下基底压力P与基底附加应力<img height="20" id="图片 17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8cc8e11e-c889-4c2f-bef1-7e6a7b90dad8.png" width="16"/>大小之间的关系为{{c1::（）}}。	<img height="20" id="图片 16" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b28ecfd1-9499-40e1-9416-dfe5e4777c0c.png" width="40"/><br><img height="35" id="图片 15" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a263a968-e5e0-4fb0-889b-7043c1a07425.png" width="49"/><br><img height="20" id="图片 14" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/57725155-5318-42ac-9dbb-f756aa335bea.png" width="39"/><br><img height="20" id="图片 13" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/82cdc705-745a-43b0-9a64-4eff9911ccba.png" width="39"/>	A	地基中的附加应力是指地基在外荷载作用下，在原自重应力作用的基础上产生的应力增量。基底压力是指上部结构荷载和基础自重通过基础传递，在基础底面处施加于地基上的单位面积压力。反向施加于基础底面上的压力称为基底反力。基底附加压力P<sub>0</sub>是上部结构和基础传到基底的基底压力与基底处原先存在于土中的自重应力之差，按下式计算：<img height="24" id="图片 12" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9759b54c-b374-429b-bdb7-487ae70881f4.png" width="149"/>，由于土中的自重应力恒为正值，则<img height="20" id="图片 11" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b28ecfd1-9499-40e1-9416-dfe5e4777c0c.png" width="40"/>。
17. 外加荷载与上部建筑和基础的全部重量，都是通过基础传递到地基，在基础与地基的接触面上的有效接触应力称为{{c1::（）}}。	孔隙水压力<br>基底附加应力<br>基底压力<br>附加应力	C	外加荷载与上部建筑和基础的全部重量，都是通过基础传递到地基，在基础与地基的接触面上的有效接触应力称为基底压力；地基附加应力是地基中增加的有效应力，其分布比较复杂，与基础和地基的相对刚度、基础埋深、荷载大小及分布、地基土的性质都有关系，在工程实用中常采用简化算法，按线性分布处理。
18. 上部荷载的合力为100kN，通过面积为10m<sup>2</sup>的基础底面形心，基础为刚性基础，基础底面的基底压力均匀分布，则基底压力为{{c1::（）}}KPa	0.1<br>1<br>10<br>100	C	建筑物荷载通过基础向地基土层中传递，首先在基础与地基的接触面产生应力，即基底压力，它是指基底单位面积上的受力，故基底压力=100/10=10KPa。
19. 对于柔性基础，当基础底面受竖向均布荷载作用时基底压力为{{c1::（）}}分布。	抛物线<br>马鞍形<br>钟形<br>均匀	D	建筑皆由上部结构和基础两部分构成，建筑物的荷载通过基础传递给地基，在基础底面和与之相接触的地基之间便产生了接触压力，基础作用于地基表面单位面积上的压力称为基底压力。根据作用与反作用原理，地基又给基础底面大小相等的反作用力，这就是地基反力。对于柔性基础，由于其刚度很小，在竖向荷载作用下没有抵抗弯曲变形的能力，能随着地基一起变形。因此，地基反力的分布与作用和基础上的荷载分布是一致的。柔性基础在均布荷载作用下，基底压力为均匀分布。
20. 建筑物荷载通过基础向地基土层中传递，首先在基础与地基的接触面产生压力，然后在地基土层中产生{{c1::（）}}，引起基础沉降。	孔隙水压力<br>自重应力<br>基底压力<br>附加应力	D	地基附加应力是地基中增加的有效应力。上部建筑将荷载通过基础传至地基部分，在地基土体中产生除自重应力之外的附加应力。由于土体在承受建筑和在之前已经固结稳定，因此，引起基础沉降的只能是后来的附加应力。
21. 在条件相同的情况下，方形基础下地基附加应力的影响深度较同宽度的条形基础的影响深度{{c1::（）}}。	小<br>大<br>相等<br>难以确定	A	确定地基压缩层的计算深度Z<sub>n</sub>，应符合下式要求：<img height="24" id="图片 10" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ab0df141-b0de-40dd-b27b-d3c7c6df8d5e.png" width="76"/>，式中，σ<sub>z</sub>表示Z<sub>n</sub>处地基竖向附加应力，单位为kPa；σ<sub>cz</sub>表示Z<sub>n</sub>处地基竖向自重应力，单位为kPa。如确定的计算深度下有软土层，尚应继续往下计算，算至σ<sub>z</sub>=0.1σ<sub>cz</sub>。确定相同条件下的条形、方形基础的影响深度可以用叠加法，将条形基础分为方形和其他两个条形基础。由于周边荷载的附加应力作用使基底中心点下各分层面处的附加应力σ<sub>z</sub>较方形基础的为大，因此影响深度也就越大。
22. 在计算地基附加应力时，下列说法中错误的是{{c1::（）}}。	基础埋深越大，土中附加应力越大<br>基底附加应力越大，土中附加应力越大<br>计算深度越小，附加应力越大<br>在同一深度平面上，附加应力随水平距离的增大而减少	A	基底附加应力是地基中增加的有效应力，计算公式为：p<sub>0</sub>＝p－γ·d，故基础埋深d越大，基底附加应力p<sub>0</sub>越小，地基中某一点的附加应力越小；而附加应力σ<sub>z</sub>＝k<sub>c</sub>P<sub>0</sub><sub>，</sub>附加应力σ<sub>z</sub>，，式中，K为铅直向附加应力分布系数，由比值r/z（r为M点在水平面上的投影到P作用点的距离，z为M点的深度）确定。随深度的增加而减少，随着水平距离增加而减少。
23. 土中附加应力起算点位置为{{c1::（）}}。	天然地面<br>基础底面<br>室外设计地面<br>室内设计地面	B	基底附加应力的计算公式为：<img height="25" id="图片 9" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bd77280e-81b0-4786-99c1-350667778b6c.png" width="86"/>。由上式可知，地基中附加应力是<em>h</em>的函数。<em>h</em>的坐标原点在基础底面上，所以附加应力计算的起算点位置为基础底面。
24. 上部结构和基础的总重量为164000kN（见图2-2-1），基础尺寸为80m×15m，则基础埋深为{{c1::（）}}m时，基底附加压力为零。<br/><span style="display:block;text-align:center;"><img alt="16-1" height="178" id="图片 8" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d758131f-bfe1-459d-8337-b5ee7fed2fd3.jpg" width="285"/></span><span style="display:block;text-align:center;">图2-2-1</span>	2.55<br>5.50<br>10.0<br>12.2	D	附加压力为零时的基础称为补偿基础。由p<sub>0</sub>=p-γ<sub>0</sub>d=0得：<img height="39" id="图片 7" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/83a7e970-2023-41af-ba08-843650069153.jpg" width="98"/>。平均重度<img height="38" id="图片 6" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6e9259c1-e70d-4605-ad1e-62fa2e997c46.jpg" width="234"/>，则有：<img height="59" id="图片 5" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4384e1eb-5397-4763-ae13-f63da9ed8079.jpg" width="319"/>
25. 从地表面开始厚为h的软塑粘土层，下面是深厚的砂夹卵石层，当地面有平面尺寸为a×bm<sup>2</sup>的堆载ρkN/m<sup>2</sup>作用时，粘土层中的附加应力将{{c1::（）}}。	随深度而增加<br>不随深度变化<br>随深度而减小<br>与组成的土层性质有关	C	附加应力σ<sub>z</sub>＝k<sub>c</sub>P<sub>0</sub><sub>，</sub>随着水平距离增加而减少，附加应力随着深度的增大而逐渐减少，对于不同的土体，附加应力变化趋势是相同的，土体性质影响的只是变形的大小。
26. 矩形面积上有三角形分布荷载时，矩形角点下的附加应力系数是L/b、z/b，在这里b是指{{c1::（）}}。	矩形的短边<br>三角形荷载最大值对应的边<br>三角形荷载分布方向的边<br>矩形的长边	C	矩形基底受竖直三角形分布荷载作用时，在荷载强度为零的两个角点下的坚向附加应力相同，按下式计算：<br/>σ<sub>zT</sub>=K<sub>T</sub>P<sub>T</sub><br/>式中P<sub>T</sub>为基底附加压力最大值，单位为kPa；K<sub>T</sub>为无因次附加应力系数，可根据m=L／b与n=z／b查表得，其中，b为沿荷载变化方向矩形基底的边长，L为矩形基底的另一个边长。
27. 如图2-2-2所示，柱下独立基础埋深1m，基底尺寸为2m×2.4m，地基土为均质粘土，γ=17.5kN/m<sup>3</sup>，上部结构传来的荷载P=800kN，P偏心0.2m，基础及其上覆土的平均重度为γ<sub>G</sub>=20kN/m<sup>3</sup>，试计算基底压力及基底附加压力的大小{{c1::（）}}。<br/><span style="display:block;text-align:center;"><img alt="HWOCRTEMP_ROC660" height="244" id="图片 4" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/b970cf22-e93c-460e-9c90-e5901917d74f.jpg" width="225"/></span><span style="display:block;text-align:center;">图2-2-2</span>	pmax=270kPa；p0max=152.5kPa；pmin=103.3kPa；p0min=85.5kPa<br>pmax=280kPa；p0min=75.8kPa；pmin=93.3kPa；p0max=262.5kPa<br>pmax=270kPa；p0min=262.5kPa；pmin=93.3kPa；p0min=75.8kPa<br>pmax=280kPa；p0max=152.5kPa；pmin=103.3kPa；p0min=85.5kPa	B	利用偏心荷载作用下的基底压力公式：<img height="51" id="图片 3" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ed69352d-1887-4bd3-ae94-fa9155a6eeb5.png" width="516"/>；<br/>基底附加压力：<img height="51" id="图片 2" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/765adb23-779f-4d03-a82a-bdb6826d5d40.png" width="305"/>。<br/>式中<img height="24" id="图片 1" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3d1526a8-80eb-481d-a3cc-798644e0fa49.png" width="20"/>为埋深范围内土的加权平均重度。
