1. 下列地形图数字比例尺中，属于中比例尺的是{{c1::（）}}。［2012年6月真题］	1∶500<br>1∶5000<br>1∶50000<br>1∶500000	C	地形图比例尺分为三类：①1∶500、1∶1000、1∶2000、1∶5000、1∶10000为大比例尺；②1∶25000、1∶50000、1∶100000为中比例尺；③1∶250000、1∶500000、1∶1000000为小比例尺。
13. 土坝施工分层上料时，每层填土厚度约{{c1::（）}}m。	0.5<br>0.6<br>0.7<br>0.8	A	坝体坡脚线放出后，即可在坡脚线范围内填土。土坝施工时是分层上料，每层填土厚度约0.5m，上料后即进行碾压，为了保证坝体的边坡符合设计要求，应及时确定每层上料边界。
14. 在实际工作中，常在各里程桩的横断面上、下游方向，各预先埋设轴距杆，据此杆确定{{c1::（）}}的位置。	上料桩<br>开挖线<br>坡脚线<br>边坡线	A	在施工中，由于坝轴线上的各里程桩不便保存，故在实际工作中，常在各里程桩的横断面上、下游方向，各预先埋设一根竹竿，称轴距杆，并据此杆确定上料桩的位置。
15. 土坝施工中，坝坡面修整后，需用草皮或石块进行护坡，为使坡面符合设计要求，需要进行{{c1::（）}}。	修坡桩测设<br>定位桩测设<br>护坡桩测设<br>高程桩测设	C	坝坡面修整后，需用草皮或石块进行护坡，为使坡面符合设计要求，需要进行护坡桩测设，标定护坡桩位置的工作称为护坡桩测设。
16. 土坝护坡桩从坝脚线开始，沿坝坡面平行坝轴线布设，每排高差为{{c1::（）}}m。	3<br>5<br>6<br>10	B	护坡桩从坝脚线开始，沿坝坡面高差每隔5m布设一排木制护坡桩，每排都与坝轴线平行，同排护坡桩间距为10m，使木桩在坝面上构成方格网状，按设计高程测设于木桩上。
17. 护坡桩测设时，可将活动线作为砌筑护坡的依据，如果是草皮护坡，高程钉一般高出坝坡面{{c1::（）}}。	2cm<br>4cm<br>5cm<br>10cm	C	护坡桩测设时，在大坝的横断面方向的高程钉上拴一根线绳，以控制坡面的横向坡度；在平行于坝轴线方向系一活动线，当活动线沿横断面线上、下移动时，其轨迹就是设计的坝坡面。因此，可将活动线作为砌筑护坡的依据，如果是草皮护坡，高程钉一般高出坝坡面5cm；如果是石块护坡，应根据设计要求预留铺盖厚度。
18. 根据水利工程施工测量有关规定，水闸中线的放样误差应小于{{c1::（）}}。	5″<br>10″<br>12″<br>15″	B	水闸主轴线放样，是在施工现场标定轴线端点的位置。主要轴线端点的位置，可从水闸设计图上计算出坐标，再将此坐标换算成测图坐标，利用测图控制点进行放样。对于独立的小型水闸，也可在现场直接选定。其测设误差应小于10″。
19. 闸底板放样的目的首先是{{c1::（）}}，以便装置模板进行浇筑。	在现场定出闸孔中线<br>检查端点位置是否发生移动<br>放出底板立模线的位置<br>在模板内侧标出高程点	C	水闸的施工放样，包括测设水闸的主轴线，闸墩中线、闸孔中线、闸底板的范围以及各细部的平面位置和高程等。其中闸底板放样的目的首先是放出底板立模线的位置，以便装置模板进行浇筑。
20. 三、四等水准测量所使用的水准尺，按其构造不同可分为折尺、塔尺、直尺等数种，其横剖面做成丁字形、槽形、工字形等，尺长{{c1::（）}}m。	3<br>4<br>5<br>6	A	二等水准测量使用因瓦水准尺。三、四等水准测量或普通水准测量所使用的水准尺是用干燥木料或者玻璃纤维合成材料制成，一般长约3～4m，按其构造不同可分为折尺、塔尺、直尺等数种，其横剖面做成丁字形、槽形、工字形等。尺长为3m，是以厘米为分划单位的区格式木质双面水准尺。一面分划黑白相间称为黑面尺（也叫主尺），另一面分划红白相间称为红面尺（也叫辅助尺）。黑面分划的起始数字为“0”，而红面底部起始数字不是“0”，一根K=4687mm，另一根K=4787mm，K称为尺常数。尺面每隔1cm涂有黑白或红白相间的分格，每分米有数字注记。为倒像望远镜观测方便，注字常倒写。水准尺侧面一般装有圆水准器。
21. 双面水准尺分为主尺和辅助尺两面，其中主尺为{{c1::（）}}。	黑白相间<br>红白相间<br>黄白相间<br>蓝白相间	A	双面水准尺的一面分划黑白相间称为黑面尺（又称主尺），另一面分划红白相间称为红面尺（又称辅助尺）。黑面分划的起始数字为“0”，而红面底部起始数字不是“0”，一根K=4687mm，另一根K=4787mm，K称为尺常数。
22. 工程测量中一般应使用{{c1::（）}}型微倾式普通水准仪。	DS3<br>DS05<br>DS10<br>DS1	A	水准仪按精度不同可分为4个等级，分为普通水准仪（DS3、DS10）和精密水准仪（DS05、DS1）。普通水准仪用于国家三、四等水准及普通水准测量，工程测量中一般使用DS3型微倾式普通水准仪。精密水准仪用于国家一、二等精密水准测量。
23. DS3型水准仪，每公里往返测量高差中数的偶然误差为{{c1::（）}}。	±30cm<br>±3mm<br>±0.3mm<br>±3cm	B	工程测量中一般使用DS3型微倾式普通水准仪，D、S分别为“大地测量”和“水准仪”的汉语拼音第一个字母，数字3表示该仪器精度，即每公里往返测量高差中数的偶然中误差为±3mm。
24. 进行角度测量的主要仪器是{{c1::（）}}。	水准仪<br>经纬仪<br>全站仪<br>电磁波测距仪	B	经纬仪是进行角度测量的主要仪器。它包括水平角测量和竖直角测量，水平角用于确定地面点的平面位置，竖直角用于确定地面点的高程。另外，经纬仪也可用于低精度测量中的视距测量。
25. 微倾水准仪的使用步骤是{{c1::（）}}。	安置水准仪和粗平→精平→调焦和照准→读数<br>安置水准仪和粗平→调焦和照准→精平→读数<br>安置水准仪和粗平→精平→读数<br>安置水准仪和粗平→调焦和照准→读数	B	微倾水准仪的使用步骤包括：①安置水准仪和粗略整平（简称粗平）。先选好平坦、坚固的地面作为水准仪的安置点，然后张开三脚架使之高度适中，架头大致水平，再用连接螺旋将水准仪固定在三脚架头上，将架腿的脚尖踩实。调整三个脚螺旋，使圆水准气泡居中称为粗平。②调焦和照准。整平后，将望远镜对着明亮的背景，转动目镜调焦螺旋，使十字丝清晰；用望远镜的准星和照门瞄准水准尺，然后旋紧制动螺旋固定望远镜；转动物镜调焦螺旋，使水准尺成像清晰，再转动水平微动螺旋，使十字丝竖丝照准水准尺；消除视差。③精平。转动微倾螺旋，同时察看水准管气泡观察窗，当符合水准泡成像吻合这一条件时，表明已精确整平。④读数。当符合水准气泡居中时，立即根据十字丝中丝在水准尺上读数。不论使用的水准仪是正像或是倒像，读数总是由注记小的一端向大的一端读出。通常读数保持四位数。
26. 以下属于电磁波测距仪测量距离表达式的是{{c1::（）}}。	测量距离=1/2电磁波在大气中的传播速度×电磁波在所测量的两点间往返的时间<br>测量距离=1/2电磁波在大气中的传播速度＋电磁波在所测量的两点间往返的时间<br>测量距离=1/3电磁波在大气中的传播速度×电磁波在所测量的两点间往返的时间<br>测量距离=1/3电磁波在所测量的两点间往返的时间＋电磁波在大气中的传播速度	A	电磁波测距仪测量距离表达式为：<img height="35" id="图片 5" src="http://admintk.100xuexi.com/UpLoadImage/2017-03-26/bed80d54-6818-4918-b46e-86618109f02e.png" width="48"/>。式中，<em>c</em>为电磁波在大气中的传播速度；<em>t</em>为电磁波在A、B两点往返的时间。
27. 在相同的观测条件下，对某一量进行一系列的观测，如果误差出现的符号和数值大小都不相同，从表面上看没有任何规律性，这种误差称为{{c1::（）}}。	粗差<br>系统误差<br>偶然误差<br>必然误差	C	误差按其产生的原因和对观测结果影响性质的不同，可以分为系统误差、偶然误差和粗差三类。在相同的观测条件下，对某一量进行一系列的观测，如果误差出现的符号和数值大小都不相同，从表面上看没有任何规律性，这种误差称为“偶然误差”。粗差是由于观测者粗心或者受到干扰造成的错误。在相同的观测条件下，对某一量进行一系列的测量，如果出现的误差在符号和数值上都相同，或按一定的规律变化，这种误差称为“系统误差”。
