1. 运动粘度<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d4015e2d-6c34-45d8-a130-ef0e549b8fe4.png" width="92"/>的油在圆管中流动的平均速度为<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4eccb32a-7d86-45fd-8fa7-f90ed0634963.png" width="76"/>，每100m长度上的沿程损失为40cm油柱，则<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/59e66619-ea4d-46ee-b8f2-b5cb7d6208f2.png" width="25"/>为{{c1::（）}}。[2010年真题]	<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4d72f688-76fa-4b08-8247-084c594481a9.png" width="69"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/96820c18-f06d-459b-b088-3f91255e3561.png" width="69"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f3436a6a-1665-4ae9-b5ef-c37a263b4a2d.png" width="69"/><br><img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/96820c18-f06d-459b-b088-3f91255e3561.png" width="69"/>	A	圆管中液流的雷诺数Re计算公式：<img height="41" id="图片 23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/67290f61-72d3-4183-a2ae-be5ca29a241a.png" width="57"/>，圆管沿程水头损失计算公式：<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7cbf55b0-bfb1-4032-8735-1d714f347019.png" width="95"/>。代入数据得：<img height="39" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6e11e858-1d72-4a02-b5de-2847c4c2d46c.png" width="361"/>。
12. 在紊流中{{c1::（）}}。	液体质点作有秩序的运动<br>一层液体在另一层液体上滑动<br>液体质点作不规则运动<br>粘滞性的作用比动量交换的作用更大	C	实验表明，同一液体在同一管道中流动，当流速不同时液体有两种不同的运动型态：①当流速较小时，各液层的质点互不混掺，作有条不紊的直线运动，此种流动型态称为层流；②当流速较大时，管中形成涡体，各液层质点互相混掺，作杂乱无章的运动，此种流动型态称为紊流。
13. 根据尼古拉兹实验判断，当水流处于层流区时，沿程阻力系数与雷诺数、相对粗糙度的关系是{{c1::（）}}。	<img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/738c4552-a644-4f5f-b855-ee215f282f45.png" width="96"/><br><img height="27" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fd88ee34-23a3-4bf3-8cef-155e8be87a94.png" width="75"/><br><img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/9b1eb76f-0536-4083-9eba-3ba758237c89.png" width="72"/>）<br>都不正确	B	当雷诺数Re<2300时，流动为层流，尼古拉兹实验表明此时沿程水头损失系数<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/14fc06d2-71e1-4097-9948-eef55340bc08.png" width="15"/>只与雷诺数Re有关，而与相对粗糙度<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/bc0822ad-80a9-4600-b7ff-7faba3575c6a.png" width="36"/>无关，并符合<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/14fc06d2-71e1-4097-9948-eef55340bc08.png" width="15"/>=64／Re。
14. 已知液流的沿程水头损失系数λ只与雷诺数Re的-1次方成比例，即可判断该液流属于{{c1::（）}}。	层流区<br>水力光滑区<br>水力过渡粗糙区<br>水力粗糙区	A	当雷诺数Re＜2300时，流动为层流，此时沿程水头损失系数<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/14fc06d2-71e1-4097-9948-eef55340bc08.png" width="15"/>只与雷诺数Re有关，而与相对粗糙度k<sub>s</sub>／r<sub>0</sub>无关，并且满足式<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2c34d65f-dd9f-4836-a439-28962d07e529.png" width="47"/>。式<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/2c34d65f-dd9f-4836-a439-28962d07e529.png" width="47"/>说明层流时的沿程水头损失与雷诺数Re的-1次方成比例。
15. 粘性底层厚度δ<sub>l</sub>比绝对粗糙度k<sub>s</sub>小得多的壁面称为{{c1::（）}}。	水力光滑面<br>过渡粗糙面<br>水力粗糙面<br>以上答案均不正确	C	紊流中粘性底层厚度δ<sub>l</sub>比绝对粗糙度k<sub>s</sub>大得多的壁面称为水力光滑面；粘性底层厚度δ<sub>l</sub>比绝对粗糙度k<sub>s</sub>小得多的壁面称为水力粗糙面；介于两者之间的壁面称为过渡粗糙面。
16. 紊流中粘性底层厚度δ<sub>l</sub>比绝对粗糙高度k<sub>s</sub>大得多的壁面称为{{c1::（）}}。	水力光滑面<br>过渡粗糙面<br>水力粗糙面<br>以上答案均不正确	A	紊流中粘性底层厚度δ<sub>l</sub>比绝对粗糙度k<sub>s</sub>大得多的壁面称为水力光滑面；粘性底层厚度δ<sub>l</sub>比绝对粗糙度k<sub>s</sub>小得多的壁面称为水力粗糙面；介于两者之间的壁面称为过渡粗糙面。
17. 紊流的断面流速分布规律符合{{c1::（）}}。	对数分布<br>椭圆分布<br>抛物线分布<br>直线分布	A	圆管层流中的流速分布式为<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c64256e6-9bfa-439c-ac1b-795ee4bcfdd0.png" width="112"/>，可知圆管层流中的流速是抛物线型分布；紊流中流速分布的一般公式为<img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d7471f0a-b45a-4fb1-803a-8193d47ba3a6.png" width="104"/>，可知紊流中的流速u按对数规律分布。两种流速分布如图1-3-2所示。由图可知，过水断面上紊流中的流速分布比层流中的流速分布均匀。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC3010" height="175" id="图片 20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/57717e6d-70a1-4cc4-96c5-b8af9178d0f0.jpg" width="332"/></span><span style="display:block;text-align:center;">图1-3-2</span>
18. 水力光滑区的水头损失与流速成{{c1::（）}}。	1.0次方关系<br>1.75次方关系<br>2.0次方关系<br>1.75～2.0次方关系	B	当雷诺数Re＞4000时，流动为紊流中的水力光滑管流，此时沿程水头损失系数λ只与雷诺数有关，由<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/29103c12-6775-43a4-accb-ecebe7be56c7.png" width="77"/>可知，水力光滑管流时液体流动的沿程水头损失与速度的1.75次方成正比。
19. 已知液体流动的沿程水头损失系数λ与边壁粗糙度和雷诺数Re都有关，即可以判断该液体流动属于{{c1::（）}}。	层流区<br>水力光滑区<br>水力过渡粗糙区<br>水力粗糙区	C	沿程水头损失系数λ的变化规律为：①当雷诺数Re＜2300时，流动为层流，此时沿程水头损失系数λ只与雷诺数Re有关，而与相对粗糙度k<sub>s</sub>／r<sub>0</sub>无关。且层流时的沿程水头损失与速度的一次方成比例。②当2300＜Re＜4000时，流动由层流向紊流过渡，此时沿程水头损失系数λ只与雷诺数有关。③当雷诺数Re＞4000时，流动为紊流中的水力光滑管流，此时沿程水头损失系数λ只与雷诺数有关，而与相对粗糙度k<sub>s</sub>／r<sub>0</sub>无关，且水力光滑管流时液体流动的沿程水头损失与速度的1.75次方成正比。④在水力光滑管向水力粗糙管的过渡区，沿程水头损失系数λ同时与雷诺数Re和相对粗糙度k<sub>s</sub>／r<sub>0</sub>有关。⑤在水力粗糙管区沿程水头损失系数λ只与相对粗糙度k<sub>s</sub>／r<sub>0</sub>有关，同时沿程水头损失与速度的平方成比例，因此常将此区称为阻力平方区。
20. 水力粗糙区的水头损失与流速成{{c1::（）}}关系。	1.0次方<br>1.75次方<br>1.75～2.0次方<br>2次方	D	水力粗糙管区沿程水头损失系数λ只与相对粗糙度k<sub>s</sub>／r<sub>0</sub>有关，同时沿程水头损失与速度的2次方成比例，因此常将此区称为阻力平方区。
21. 在紊流粗糙区中，沿程水头损失系数λ随液体运动粘度的减小而{{c1::（）}}。	加大<br>减小<br>不变<br>不定。	C	在紊流粗糙区中，沿程水头损失系数λ只与相对粗糙度k<sub>s</sub>／r<sub>0</sub>有关，与雷诺数无关，同时沿程水头损失与速度的平方成比例，因此常将此区称为阻力平方区。而相对粗糙度与液体运动粘度无关。
22. 当管道尺寸及粗糙度一定时，随着流量的加大，紊流流区的变化是{{c1::（）}}。	光滑区→粗糙区→过渡粗糙区<br>过渡粗糙区→粗糙区→光滑区<br>粗糙区→过渡粗糙区→光滑区<br>光滑区→过渡粗糙区→粗糙区	D	<img height="39" id="图片 19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7a90e433-a2a3-4c49-8917-dc030cacc90a.png" width="63"/>流量加大，雷诺数加大，紊流流区变化为光滑区→过渡粗糙区→粗糙区。
23. 层流断面流速分布规律符合{{c1::（）}}。	对数分布<br>直线分布<br>抛物线分布<br>椭圆分布	C	圆管层流中的流速分布式为<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c64256e6-9bfa-439c-ac1b-795ee4bcfdd0.png" width="112"/>，可知圆管层流中的流速是抛物线型分布；紊流中流速分布的一般公式为<img height="45" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d7471f0a-b45a-4fb1-803a-8193d47ba3a6.png" width="104"/>，可知紊流中的流速u按对数规律分布。圆管层流中，在r=0（管轴心）处流速最大，即u<sub>x</sub>=u<sub>xmax</sub>，可得<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c42c65bb-ac41-488b-9f87-739c7bdde296.png" width="151"/>。
24. 谢才公式v=C<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/a98bd6cc-daba-4a8f-8e5d-491755f1e1a4.png" width="36"/>{{c1::（）}}。	只适用于明渠流<br>只适用于管流<br>适用于明渠流和管流<br>只适用于明渠紊流	C	谢才公式<img height="25" id="图片 18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0bc7f0e9-0809-431f-a5c3-4c08c9ef5934.png" width="80"/>C为谢才系数。谢才系数C的计算公式有：①曼宁（R．Manning）公式<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/962332e5-0c4d-4432-a0ff-f97f82469034.png" width="67"/>，式中，n为壁面的粗糙系数或者糙率，由实测得到。②巴莆洛夫斯基公式<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/e7eff662-b3ec-4353-803e-d299e0010cd3.png" width="61"/>，式中，<img height="17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3f88a6fa-c7b8-4e57-94b1-77a7d19973c6.png" width="15"/>由n的大小决定。
25. 均匀流的沿程水头损失<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>与切应力τ的关系为{{c1::（）}}。	<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>与<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/eb65224e-7cd3-4492-95d3-8207551298c8.png" width="25"/>成正比<br><img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>与τ成正比<br><img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>与1/τ成正比<br><img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>与τ<sup>2</sup>成正比	B	由于实际液体在运动时存在切应力，故液体在运动过程中摩擦生热并将其耗散在水流中，对于机械能而言，这部分热能是不可逆的，因此水流中产生机械能损失，也就是水头损失。可见沿程水头损失<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>是直接与水流同固体壁面接触处的切应力τ有关系的。均匀流的沿程水头损失<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>与切应力τ的关系式为：<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/fabb517c-0488-4c5a-8cf0-5fa487972b95.png" width="89"/>。由此可知<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/295ce791-7122-4d52-9743-dc33e5c98ca3.png" width="20"/>与τ成正比。
26. 明渠均匀流的切应力随底坡i的增大而{{c1::（）}}。	增大<br>减小<br>不变<br>不确定	A	边壁上的切应力<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/666332a6-4af0-45e1-99c4-4da5d9a78da9.png" width="71"/>。式中,<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/51913fd6-5c44-4584-a08a-f01b523c2d40.png" width="15"/>为水力坡度，对于明渠均匀流，<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/51913fd6-5c44-4584-a08a-f01b523c2d40.png" width="15"/>=i，<img height="17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6464ccb1-b8b7-4b2b-a760-725f087fdb92.png" width="16"/>为水力半径。对于明渠均匀流<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d9060b2f-225c-4a92-b745-2c5c95caac62.png" width="56"/>，<img height="17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/3f88a6fa-c7b8-4e57-94b1-77a7d19973c6.png" width="15"/>为到水面的距离。
27. 谢才系数C与沿程水头损失系数λ的关系为{{c1::（）}}。	C与λ成正比<br>C与1/λ成正比<br>C与λ<sup>2</sup>成正比<br>C与1/<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/dae68f38-b116-446b-93a9-6d3c11c77cc2.png" width="27"/>成正比	D	推导谢才公式过程为：达西一威斯巴赫公式的一般形式为<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6e1eda9e-a713-4532-b42f-79e039dcd78d.png" width="92"/>，由此得<img height="48" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8fce96f1-004f-4bba-9ee9-6c5f2f186d36.png" width="103"/>。令<img height="47" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/45770928-f449-4ac5-b06f-b4e079359391.png" width="64"/>，又水力坡度<img height="40" id="图片 17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/1a9bab82-3ba9-473b-8831-e05607fbf088.png" width="41"/>，于是，得断面平均流速为<img height="24" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6a7887d8-48de-4c97-b7ef-2f55014662c8.png" width="71"/>（谢才公式），流量为<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/ed99d6cb-b675-49b1-aebe-c897d955a033.png" width="84"/>。式中，<img height="15" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6ad43796-6500-40ce-a99c-d8c9205b473e.png" width="12"/>为均匀流的断面平均流速；<img height="17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6464ccb1-b8b7-4b2b-a760-725f087fdb92.png" width="16"/>为水力半径，<img height="17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6464ccb1-b8b7-4b2b-a760-725f087fdb92.png" width="16"/>=A/χ；<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/51913fd6-5c44-4584-a08a-f01b523c2d40.png" width="15"/>为水力坡度，对于明渠均匀流，<img height="19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/51913fd6-5c44-4584-a08a-f01b523c2d40.png" width="15"/>=i；C为谢才系数，其单位为m<sup>1/2</sup>／s，可由经验公式确定。由此可知，C与<img height="25" id="图片 16" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/d6773f4f-9b0c-4ac1-aa77-ee98f8e97a86.png" width="47"/>成正比。
28. 圆管水流切应力的最大值出现在{{c1::（）}}。	管壁<br>管中心<br>管中心与管壁之间<br>无最大值	A	圆管均匀流过水断面上的切应力按直线规律分布，管壁处最大为τ<sub>0</sub>，管轴线处为零，如图1-3-3所示。<br/><span style="display:block;text-align:center;"><img alt="说明:HWOCRTEMP_ROC2300" height="183" id="图片 15" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/7d352fa2-723d-44c4-9164-62e84821e671.jpg" width="314"/></span><span style="display:block;text-align:center;">图1-3-3</span>
29. 公式τ=ρgRJ不能用于{{c1::（）}}。	均匀流<br>急变流<br>明渠流<br>管流	B	在均匀流中元流面上的切应力与沿程水头损失的关系为<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/70a8e937-7e69-40bf-9af2-b7631dd30465.png" width="57"/>，因公式τ=ρgRJ是均匀流沿程水头损失与切应力关系式，故公式τ=ρgRJ不能用于急变流。
30. 有两根管道，管1输油，管2输水，均作层流运动。两管的管径、管长、绝对粗糙度及流速均相同，且运动粘度<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/20ee5636-f477-4bef-8b82-103ba98e6779.png" width="16"/>＞<img height="23" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/faed1531-9c67-41d3-bb2d-8ff14121c867.png" width="17"/>，则两管道沿程水头损失h<sub>f</sub>的关系为{{c1::（）}}。	<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/899d22fd-d711-4e30-ac3e-d1db046831c9.png" width="23"/>=<img height="25" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/6c10f10f-f1e0-425c-83f5-c7717e0a7171.png" width="25"/><br>h<sub>f1</sub>＞h<sub>f2</sub><br>h<sub>f1</sub>＜h<sub>f2</sub><br>无法确定	B	圆管层流沿程水头损失h<sub>f</sub>的计算公式为：<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/51921afb-eedd-42d7-8408-30ce12c2b344.png" width="80"/>，其它条件相同时，运动粘度大，则水头损失大。
31. 管道均匀流中，当流段两端断面的测压管水头差增大时，管壁切应力{{c1::（）}}。	减小<br>不变<br>增大<br>不确定	C	在均匀流中元流面上的切应力与沿程水头损失的关系为<img height="21" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/70a8e937-7e69-40bf-9af2-b7631dd30465.png" width="57"/>，根据公式τ=ρgRJ，J=h<sub>f</sub>/l，可得测压管水头差增大时，h<sub>f</sub>增大，则管壁切应力τ增大。
32. 谢才系数随壁面糙率的增大而{{c1::（）}}。	增大<br>减小<br>不变<br>不确定	B	根据曼宁（R．Manning）公式<img height="41" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/962332e5-0c4d-4432-a0ff-f97f82469034.png" width="67"/>，可知谢才系数随壁面糙率的增大而减小。式中，n为壁面的粗糙系数或者糙率。
33. 一水箱侧壁接两根相同直径的管道1和2。已知管l的流量为Q<sub>1</sub>，雷诺数为Re<sub>1</sub>，管2的流量为Q<sub>2</sub>，雷诺数为Re<sub>2</sub>，若Q<sub>1</sub>/Q<sub>2</sub>=2，则Re<sub>1</sub>/Re<sub>2</sub>等于{{c1::（）}}。	1/2<br>1<br>2<br>4	C	由公式<img height="44" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/c9c64321-884c-4baa-bfd7-83da6cf756a3.png" width="143"/>，可知Re与Q成正比，在管径相同的情况下，若Q<sub>1</sub>/Q<sub>2</sub>=2，则Re<sub>1</sub>/Re<sub>2</sub>等于2。
