1. 按弯矩调幅法进行内力计算和配筋时，下列提法哪个是不正确的？{{c1::（）}}。[2010年真题]	弯矩调幅法既适用于连续梁也适用于简支梁，和弹性法相比，安全储备较低<br>按调幅法计算时，调整后的截面相对受压区高度不应小于0.35，即<img height="21" id="图片 20" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/0bebd591-e628-496e-96cd-1e4cddc6a08b.png" width="57"/>，但需满足<img height="24" id="图片 19" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8b750d26-2760-4f80-923c-8b67166cc730.png" width="43"/><br>按调幅法计算与弹性法相比，连续梁支座和跨中弯矩都大幅降低，经济效果显著<br>为保证塑性铰有较充分的转动能力，计算中要求调整后的截面相对受压区高<img height="21" id="图片 18" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/8874c38b-894c-48b9-9b9c-86dcbec1e357.png" width="57"/>	B	弯矩调幅法简称调幅法，它是在弹性弯矩的基础上，根据需要适当调整某些截面的弯矩值。需要服从以下规定：①钢材宜采用Ⅰ级、Ⅱ级和Ⅲ级热轧钢筋，也可采用I级和Ⅱ级冷拉钢筋，宜采用等级为C20~C45的混凝土；②截面的弯矩调幅系数d不宜超过25％；③调幅截面的相对受压区高度<img height="21" id="图片 17" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f2791421-c68a-49cd-aba1-6706fed51a5e.png" width="13"/>不应超过0.35，当采用I级和Ⅱ级冷拉钢筋时，<img height="21" id="图片 16" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/f2791421-c68a-49cd-aba1-6706fed51a5e.png" width="13"/>值不宜大于0.3，调幅不宜超过15％；④连续梁、单向连续板各跨两支座弯矩的平均值加跨度中点弯矩，不得小于该跨简支梁的弯矩，任意计算截面的弯矩不宜小于简支弯矩的1／3；⑤考虑内力重分布后，结构构件必须有足够的抗剪能力，且经过弯矩调幅以后，结构在正常使用极限状态下不应出现塑性铰。
12. 钢筋混凝土排架结构中承受和传递横向水平荷载的构件是{{c1::（）}}。	吊车梁和柱间支撑<br>柱间支撑和山墙<br>排架柱<br>除了吊车梁外其他所有构件	B	钢筋混凝土铰接排架柱有矩形、工字形、双肢柱和管柱等多种形式，跨度一般为12～36m，柱顶标高一般为8～20m。对于排架结构，其柱间支撑和山墙主要承受和传递横向水平荷载。
13. 单层厂房结构，柱间支撑的主要作用是{{c1::（）}}。	提高厂房的纵向刚度和稳定性<br>减小厂房的纵向温度变形<br>减小基础不均匀沉降的影响<br>承受横向水平荷载	A	在单层厂房结构中，支撑系统主要是用于加强厂房的整体刚度和稳定，并传递风荷载及吊车水平荷载。可分为屋盖支撑与柱间支撑类。其中，柱间支撑配合水平支撑，共同提高厂房整体纵向刚度和稳定性。
14. 在验算带壁柱砖墙的高厚比时，确定<img height="20" id="图片 1" src="http://admintk.100xuexi.com/UpLoadImage/2013-05-07/4cc6f687-ef89-4b2a-bd16-b01a6b099881.png" width="15"/>应采用的S为{{c1::（）}}。	验算壁柱间墙时，S取相邻横墙间的距离<br>验算壁柱间墙时，S取相邻壁柱间的距离<br>验算整片墙且墙上有洞口时，S取相邻壁柱间的距离<br>验算整片墙时，S取相邻壁柱间的距离	B	根据《砌体结构设计规范》（GB 50003—2011）第6.1.2条第2款的规定，当构造柱截面宽度不小于墙厚时，可按公式（6.1.1）验算带构造柱墙的高厚比，此时公式中h取墙厚；当确定带构造柱墙的计算高度H<sub>0</sub>时，S应取相邻横墙间的距离；验算壁柱间墙或构造柱间墙的高厚比，此时s应取相邻壁柱间或相邻构造柱间的距离，墙的允许高厚比[β]可乘以修正系数μ。
15. 检测结构钢材机械性能指标的试验方法有{{c1::（）}}。	焊接试验<br>疲劳试验和硬度试验<br>金相分析试验<br>拉伸试验、冷弯试验和冲击试验	D	钢材机械性能指标主要有抗拉强度、屈服强度、伸长率、冷弯性能和冲击韧性。前三项指标由标准拉伸试验确定，后两项指标分别由冷弯试验与冲击试验确定。
16. 按构造要求设计钢结构方管截面支撑拉杆时，需要计算{{c1::（）}}。	弯曲稳定性<br>弯扭稳定性<br>长细比<br>扭转稳定性	A	支撑拉杆是为了保证框架梁下翼缘的受压稳定，设置的支撑。钢结构方管截面支撑是为了保证平面构件形成整体、能够抵抗水平力设置的支撑体系柱间支撑，相当于设置在柱子间的“水平”支撑，所以该拉杆为拉弯构件，需验算其弯曲稳定性。
17. 采用焊接进行钢板等强度拼接时应采用{{c1::（）}}。	焊透二级以上对接焊缝<br>焊透三级对接焊缝<br>部分溶透对接焊缝<br>角接焊缝	A	对于钢板等强度拼接，应用对接焊缝，对不需要计算疲劳的构件中，凡要求与母材等强的对接焊缝应予焊透，其质量接等级当受拉时应不低于二级，受压时宜为二级；较大拉应力的对接焊缝、直接承受动力荷载构件的较重要焊缝以及对动力和疲劳性能要求较高的焊缝，应采用不低于二级的焊缝。
18. 当采用D值法计算钢筋混凝土框架结构在水平荷载作用下的内力时，如在某层柱底框架梁线刚度之和大于柱顶框架梁线刚度之和，则该层柱的反弯点如何变化？{{c1::（）}}	反弯点位于柱高的中点<br>反弯点位于柱高中点以上<br>反弯点位于柱高中点以下<br>无法根据上述条件作出判断	B	修正反弯点法（D值法）是指柱的抗侧移刚度不但与柱的线刚度和层高有关，而且还与梁的线刚度有关，另外，柱的反弯点高度也与梁柱线刚度比、上下层横梁的线刚度比，上下层层高的变化等因素有关，基于以上相关因素对反弯点法中柱的抗侧移刚度和反弯点高度进行了修正。修正后，柱的抗侧移刚度以D表示的计算方法。D值法中上下横梁高度对反弯点的影响是：若某层柱的上下横梁刚度不同，则该层柱的反弯点将向横梁刚度较小的一侧偏移。由于该层柱下部横梁刚度之和大于上部横梁刚度之和，故反弯点要向上移动。
19. 下列因素中，对钢材的疲劳强度影响不显著的是{{c1::（）}}。	应力集中的程度<br>应力循环次数<br>钢筋强度<br>最大最小应力的比值	C	AB两项，钢材的疲劳强度除了与钢材质量、构件几何尺寸和缺陷等因素有关外，主要取决于循环荷载在钢材内引起反复循环应力的特征和循环次数；D项，最大最小应力的比值对钢材的疲劳强度有一定的影响；C项，钢筋强度对钢材的疲劳强度的影响不显著。
20. 框架—剪力墙结构的内力与变形随刚度特征值λ的变化规律是{{c1::（）}}。	随λ的增大，剪力墙所分担的水平力减小<br>随λ的增大，剪力墙所分担的水平力增大<br>随λ的增大，剪力墙所分担的水平力不变<br>随λ的增大，侧向变形曲线趋于弯曲型曲线	A	对于框架—剪力墙结构，框架和剪力墙共同承担荷载，剪力墙的侧向刚度较大，承受较大水平力。刚度特征值λ是框架抗推刚度（或广义抗推刚度）与剪力墙抗弯刚度的比值，它集中反映了结构的变形状态及受力状态。随刚度特征值λ的增大，框架的等效抗弯刚度增大，所分担的水平力增大，剪力墙的等效抗弯刚度减小，所分担的水平力减小。
21. 对于多层框架楼面荷载的取值，下列说法不正确的是{{c1::（）}}。	在设计柱，基础时考虑活荷载折减<br>在设计楼面梁，当梁的从属面积较大时，考虑活荷载折减<br>在设计楼板时，当楼板较大时，可考虑活荷载折减<br>在设计楼板时，不应考虑活荷载折减	C	多、高层建筑中的楼面活荷载，不可能以荷载规范所给的标准值满布在楼面上，所以在结构设计时可考虑楼面活荷载折减。对于住宅、宿舍、旅馆等楼面梁，当负荷面积大于25m<sup>2</sup>时，折减系数为0.9。对于墙、柱、基础，则需根据计算截面以上楼层数的多少取不同的折减系数。根据设计要求，设计楼板时不应考虑活荷载折减。
22. 剪力墙结构房屋上所承受的水平荷载可以按各片剪力墙的什么分配给各片剪力墙，然后分别进行内力和位移计算？{{c1::（）}}	等效抗弯刚度<br>实际抗弯刚度<br>等效抗剪刚度<br>实际抗剪刚度	A	总剪力墙的等效抗弯刚度，即为同层内各片剪力墙等效刚度之和。当各层总剪力墙等效抗弯刚度不同时，可取各层的加权平均值。剪力墙结构在水平荷载作用下可按各片剪力墙的等效抗弯刚度分配水平力给各片剪力墙，然后分别进行内力和位移计算。
23. 关于钢筋混凝土单层厂房柱牛腿说法正确的是{{c1::（）}}。	牛腿应按照悬臂梁设计<br>牛腿的截面尺寸根据斜裂缝控制条件和构造要求确定<br>牛腿设计仅考虑斜截面承载力<br>牛腿部位可允许带裂缝工作	B	在厂房中，柱身上为了搁置吊车梁等而设置的外挑物就是牛腿，可以起到传承力的作用，又可以起到装饰的作用。根据《混凝土结构设计规范》（GB 50010—2010）第9.3.10条的规定，牛腿的外边缘高度比不应小于h/3，牛腿的截面尺寸根据斜裂缝控制条件和构造要求确定。
24. 钢筋混凝土有垫层基础中，纵向受力钢筋的混凝土保护层厚度不应小于{{c1::（）}}mm。	55<br>50<br>40<br>35	C	根据《建筑地基基础设计规范》（GB 50007—2011）第8.2.1条的规定，对于扩展基础，当有垫层时纵向受力钢筋的混凝土保护层厚度不小于40mm，无垫层时不小于70mm。
25. 柱下单独钢筋混凝土阶梯形基础的高度是{{c1::（）}}。	根据构造要求确定的<br>根据抗冲切验算确定的<br>根据地基承载力验算确定的<br>在满足构造要求前提下，通过抗冲切验算确定的	D	根据《混凝土结构设计规范》（GB 50010—2010）第6.2.19条的规定，钢筋混凝土阶形基础首先要根据构造要求配置箍筋和钢筋，然后通过抗冲切计算抗冲切承载力。所以基础高度要在满足构造要求前提下，并通过抗冲切验算确定。基础高度应满足两个要求：①构造要求；②柱与基础交接处混凝土抗冲切承载力的要求（对于阶梯形基础还应按相同原则对变阶处的高度进行验算）。
